"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2018,123885713,1,
2018,123894234,6,
2018,120097515,1,
2018,120084824,2,
2018,120097540,9,
2018,124593700,1,
2018,123888003,1,
2018,124593685,9,
2018,123903139,9,
2018,120101279,1,
2018,123885788,8,
2018,124598466,6,
2018,120101334,9,
2018,120097560,9,
2018,120101337,9,
2018,120084894,9,
2018,120084803,1,
2018,120097571,6,
2018,123885736,1,
2018,123885775,1,
2018,128274771,9,
2018,128274762,1,
