"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2018,120101265,133623807
2018,120097476,133623807
2018,120097478,133606041
2018,120097478,133606042
2018,120097485,133606045
2018,120084823,133606049
2018,120084846,133623847
2018,120084847,133626950
2018,120101295,133606075
2018,120101302,133606084
2018,120084863,133623858
2018,120084870,133623866
2018,120101317,133623871
2018,120084877,133606107
2018,120084883,133623877
2018,120101328,133606113
2018,120101333,133627001
2018,120101338,133606124
2018,120101343,133627007
2018,120084905,133623902
2018,120101371,133627027
2018,120084916,133631161
2018,120084918,133631163
2018,120101381,133627040
2018,120084922,133627044
2018,120097486,133606047
2018,120101257,133626928
2018,120101272,133606047
2018,120097501,133606058
2018,120084849,133626952
2018,120097525,133606097
2018,120084873,133606102
2018,120097543,133606112
2018,120084893,133606123
2018,120097563,133623892
2018,120097574,133631142
2018,120097599,133623927
2018,120101259,133623800
2018,120097493,133623826
2018,120097497,133606050
2018,120097496,133606050
2018,120084844,133623846
2018,120084855,133623854
2018,120084861,133623856
2018,120084865,133606091
2018,120084875,133606104
2018,120097570,133627013
2018,120097577,133623906
2018,123906630,137370600
2018,123894235,137370607
2018,123903146,137373903
2018,123903148,137373906
2018,120101254,133626922
2018,120084803,133626926
2018,120097484,133623818
2018,120101281,133606061
2018,120084843,133626947
2018,120101308,133623864
2018,120097537,133623876
2018,120101350,133631138
2018,120097595,133627031
2018,120097594,133627031
2018,120084804,133626927
2018,120084825,133606051
2018,120101285,133623844
2018,120084859,133606078
2018,120097518,133606089
2018,120097531,133626978
2018,120101323,133623875
2018,120097464,133606030
2018,120097470,133626933
2018,120097472,133606038
2018,120084821,133623828
2018,120097502,133623842
2018,120097513,133606081
2018,120084869,133626973
2018,120097548,133627000
2018,120084892,133606126
2018,120084899,133623895
2018,120097578,133623908
2018,120101370,133623918
2018,120101370,133631158
2018,120097593,133627029
2018,123906643,137373891
2018,123903141,137373898
2018,123903145,137364463
2018,123903012,137373776
2018,123906644,137373899
2018,123894247,137370612
2018,123706057,137352438
2018,127181050,140984279
2018,127184451,140978080
2018,127184541,140978173
2018,120097462,133623797
2018,120097545,133623881
2018,120101345,133606132
2018,120084903,133631143
2018,120097590,133623919
2018,120101374,133631160
2018,120101376,133623928
2018,123903236,137364540
2018,120084806,133606031
2018,120097469,133606034
2018,120084826,133623833
2018,120101276,133626943
2018,120084842,133623845
2018,120097510,133626962
2018,120101303,133623857
2018,120097516,133626967
2018,120101309,133623863
2018,120101320,133626981
2018,120097553,133623884
2018,120097569,133623897
2018,120084919,133627036
2018,120097460,133623794
2018,120084838,133606059
2018,120101300,133623855
2018,120101301,133606083
2018,120097526,133623869
2018,120097541,133606110
2018,120101336,133623889
2018,120097568,133606135
2018,120097583,133623916
