"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2018,4,133626922
2018,4,133626926
2018,3,133623818
2018,4,133606061
2018,4,133626947
2018,4,133623864
2018,4,133623876
2018,3,133631138
2018,3,133627031
2018,3,133606041
2018,3,133606042
2018,4,133606049
2018,3,133623847
2018,4,133606075
2018,4,133606084
2018,3,133623858
2018,3,133623871
2018,1,133606113
2018,4,133623902
2018,4,133627027
2018,4,133627040
2018,4,133606030
2018,4,133626933
2018,4,133606038
2018,4,133623828
2018,3,133623842
2018,4,133606081
2018,4,133626973
2018,4,133627000
2018,4,133606126
2018,4,133623895
2018,4,133623908
2018,4,133623918
2018,4,133631158
2018,4,133627029
2018,4,137364540
2018,4,137370600
2018,4,137370607
2018,4,137373906
2018,4,137373903
2018,4,138081429
2018,2,138992827
2018,4,138987887
2018,2,138992818
2018,4,138081763
2018,2,138081766
2018,4,138082023
2018,4,138076940
2018,4,133626923
2018,4,133626932
2018,4,133606035
2018,4,133623808
2018,3,133623810
2018,4,133623825
2018,4,133626941
2018,4,133626945
2018,2,133623851
2018,4,133626979
2018,4,133626984
2018,3,133623883
2018,4,133623905
2018,4,133623904
2018,4,133623907
2018,4,133627033
2018,4,133623796
2018,4,133623802
2018,3,133623815
2018,4,133623841
2018,4,133606065
2018,4,133623849
2018,3,133606096
2018,4,133623879
2018,4,133606114
2018,4,133606121
2018,4,133606134
2018,4,133627039
2018,3,133606027
2018,4,133623820
2018,4,133626959
2018,4,133626966
2018,4,133606087
2018,4,133623878
2018,4,133627028
2018,4,142051121
2018,4,142143033
2018,4,142143042
2018,4,142051132
2018,1,142143099
2018,4,142143101
2018,4,142143106
2018,4,140986661
2018,4,140984279
2018,4,140978080
2018,1,133626925
2018,2,133626930
2018,4,133623806
2018,4,133623817
2018,4,133623829
2018,4,133606056
2018,4,133626961
2018,4,133606085
2018,3,133626969
2018,4,133626985
2018,4,133626996
2018,4,133606128
2018,3,133623896
2018,3,133623899
2018,4,133627019
2018,4,133627023
2018,4,133623926
2018,4,133623929
2018,3,133623800
2018,3,133623826
2018,4,133606050
2018,4,133623846
2018,4,133623854
2018,4,133623856
2018,4,133606091
2018,4,133606104
2018,4,133627013
2018,4,133623906
2018,4,142140897
2018,4,142051133
2018,2,140978173
2018,4,142141197
2018,4,142141196
2018,4,137359526
2018,3,137359569
2018,2,137359575
2018,3,137353418
2018,3,137359572
2018,4,137359577
2018,4,137353421
2018,4,137359578
2018,4,137359585
2018,4,137359583
2018,3,137359587
2018,4,137359586
2018,1,137353423
2018,3,137353423
2018,4,137359594
2018,4,137353426
2018,4,137359595
2018,4,137359597
2018,3,137359601
2018,1,137359601
2018,4,137359608
2018,4,137359604
2018,4,137361395
2018,3,137353432
2018,4,137359612
2018,4,137359617
2018,4,137359621
2018,3,137353435
2018,3,137353437
2018,4,137359628
2018,4,137359629
2018,4,137353445
2018,4,137359641
2018,4,137359643
2018,4,137359642
2018,3,137353444
2018,3,137353447
2018,4,137359649
2018,4,137359652
2018,3,137359653
2018,4,137353457
2018,3,137353456
2018,4,137353460
2018,4,137359704
2018,4,137352170
2018,4,137356845
2018,4,137356848
2018,4,137356904
2018,4,137356897
2018,4,137357000
2018,4,137356998
2018,2,137352564
2018,4,137353020
2018,4,137359153
2018,4,137359442
2018,3,137359552
2018,4,137359564
2018,3,137361394
2018,1,137361394
2018,4,137353438
2018,3,137359636
2018,4,137353446
2018,1,137359637
2018,3,137359637
2018,1,137359658
2018,4,137359060
2018,4,137359514
2018,4,137359542
2018,4,137359588
2018,3,137353453
2018,3,137359662
2018,4,137353132
2018,4,137359041
2018,4,137359056
2018,4,137359063
2018,4,137353359
2018,4,137353358
2018,4,137353356
2018,4,137359456
2018,4,137353375
2018,4,137359496
2018,4,137353386
2018,4,137353387
2018,2,137353390
2018,4,137359508
2018,3,137359505
2018,1,137353394
2018,4,137359507
2018,4,137353391
2018,4,137353393
2018,1,137359531
2018,4,137359529
2018,3,137359535
2018,4,137353406
2018,4,137353407
2018,4,137353403
2018,4,137359543
2018,4,137353409
2018,4,137353410
2018,3,137359549
2018,3,137359553
2018,1,137353413
2018,4,137359562
2018,3,137359560
2018,4,137364452
2018,3,137373896
2018,3,137373897
2018,4,137370608
2018,4,137373901
2018,4,137373911
2018,4,137364454
2018,4,137364453
2018,4,137364467
2018,4,137373985
2018,3,137370726
2018,4,137374159
2018,4,137364459
2018,4,137364464
2018,4,137373888
2018,4,137364461
2018,4,137374098
2018,4,137364386
2018,4,137373774
2018,4,137359510
2018,4,137359546
2018,4,137359545
2018,4,137359570
2018,4,137359605
2018,4,137359622
2018,3,137359632
2018,4,137373895
2018,4,137370609
2018,4,137364609
2018,4,137370606
2018,4,137370611
2018,4,137373889
2018,4,137364457
2018,4,137364458
2018,4,137373904
2018,4,137356922
2018,4,137359511
2018,3,137359525
2018,4,137353405
2018,3,137359544
2018,1,137359567
2018,4,137359606
2018,1,137359609
2018,3,137359609
2018,4,137353436
2018,4,137353448
2018,4,137359638
2018,4,137361396
2018,4,137352624
2018,4,137353143
2018,3,137359498
2018,4,137359559
2018,4,137353415
2018,4,137359581
2018,4,137359603
2018,4,137359626
2018,4,137356961
2018,4,137352552
2018,4,137358035
2018,4,137359497
2018,4,137353396
2018,3,137359536
2018,4,137359591
2018,4,137353441
2018,3,137353452
2018,4,137359657
2018,4,138081756
2018,4,138081761
2018,4,138082011
2018,4,138076892
2018,4,137356833
2018,4,137357151
2018,4,133623807
2018,3,133606045
2018,3,133626950
2018,4,133623866
2018,4,133606107
2018,4,133623877
2018,4,133627001
2018,4,133606124
2018,3,133627007
2018,4,133631161
2018,4,133631163
2018,4,133627044
2018,4,133606033
2018,3,133623813
2018,2,133623824
2018,4,133623834
2018,4,133606066
2018,3,133606069
2018,4,133626956
2018,2,133606077
