data_year,victim_id,injury_id
2023,197608899,2
2023,197608900,5
2023,184526353,4
2023,184526460,3
2023,188471144,4
2023,193710960,5
2023,184526426,4
2023,199703958,4
2023,184526670,4
2023,184526778,5
2023,188471104,5
2023,188471105,5
2023,188471213,4
2023,188471103,5
2023,188471208,5
2023,188471182,5
2023,188471249,4
2023,188471244,4
2023,188471302,4
2023,188471287,4
2023,188471288,5
2023,188471289,5
2023,188471297,4
2023,188471298,4
2023,188496812,4
2023,188496854,5
2023,188496907,5
2023,191815597,4
2023,205298697,5
2023,205298698,5
2023,205298699,5
2023,205298702,5
2023,191815675,4
2023,191815673,5
2023,191815691,4
2023,191815758,5
2023,191815759,4
2023,191815855,4
2023,193711035,4
2023,193711039,4
2023,193711302,4
2023,193711394,4
2023,193711153,5
2023,193711262,5
2023,193711565,4
2023,193711595,5
2023,193711526,4
2023,193711668,4
2023,203242619,5
2023,195218345,4
2023,195218342,4
2023,195218484,4
2023,197609722,5
2023,197609790,3
2023,199703980,2
2023,199703993,5
2023,199703994,5
2023,199704011,5
2023,199704874,4
2023,203242655,4
2023,203242738,6
2023,203242758,5
2023,205298718,5
2023,203242680,4
2023,205298748,2
2023,203242693,5
2023,203242846,5
2023,203242888,5
2023,203242716,4
2023,205298637,1
2023,205300071,3
2023,205300077,5
2023,205298767,4
2023,191811351,5
2023,191811340,4
2023,191811364,5
2023,191811417,5
2023,191811418,5
2023,191811434,4
2023,191811437,5
2023,191811369,5
2023,191811394,3
2023,191811420,5
2023,191811422,4
2023,195211910,4
2023,195211937,4
2023,195211943,5
2023,199701178,4
2023,199701179,5
2023,205295410,5
2023,205295411,5
2023,205295412,4
2023,205295413,5
2023,199701188,1
2023,199701188,3
2023,199701188,6
2023,199701215,4
2023,203237990,5
2023,203237991,5
2023,203237996,4
2023,203238017,4
2023,203238013,4
2023,203238052,5
2023,205295529,4
2023,205295557,4
2023,205295564,4
2023,205295565,5
2023,205295540,4
2023,205295561,4
2023,205295562,4
2023,184555702,5
2023,184555825,4
2023,184555722,3
2023,184555722,8
2023,184555740,4
2023,184555772,4
2023,184555889,5
2023,184555646,4
2023,184555737,5
2023,186299754,4
2023,186299800,4
2023,186299683,2
2023,186299683,3
2023,186299777,5
2023,188488436,5
2023,188488437,5
2023,188488565,5
2023,188518160,5
2023,193741347,5
2023,193741313,5
2023,193741482,4
2023,193741403,5
2023,193741434,4
2023,193741598,5
2023,193741570,5
2023,195249576,4
2023,195249587,4
2023,195249463,5
2023,197654673,2
2023,197654673,3
2023,197654561,5
2023,197654562,5
2023,197654713,4
2023,197654775,5
2023,199741346,5
2023,199741347,5
2023,199741445,4
2023,203305510,5
2023,205327122,4
2023,205327175,4
2023,205327360,5
2023,205327218,4
2023,205327297,5
2023,205327388,5
2023,205327348,4
2023,184533448,4
2023,184533390,5
2023,184533447,5
2023,184533480,5
2023,184533516,5
2023,184533542,4
2023,184533645,4
2023,184533455,5
2023,184533575,5
2023,184533624,4
2023,184533681,4
2023,189417505,5
2023,189417526,5
2023,184533729,5
2023,184533871,6
2023,184533871,8
2023,184533980,4
2023,184533801,4
2023,184533675,4
2023,184533782,4
2023,184533960,4
2023,188502236,3
2023,184534064,1
2023,184534064,3
2023,184534093,4
2023,184534132,5
2023,184534133,5
2023,184534470,5
2023,184534106,5
2023,184534148,5
2023,186282595,5
2023,186282596,5
2023,186282597,5
2023,186282598,5
2023,186282649,4
2023,186282650,4
2023,186282651,5
2023,186282450,5
2023,186282494,5
2023,186282496,5
2023,186282586,5
2023,186282388,4
2023,186282475,5
2023,186282502,4
2023,186282535,4
2023,186282694,5
2023,186282695,5
2023,186282561,5
2023,186282562,5
2023,186282563,5
2023,186282564,5
2023,186282855,4
2023,186282884,5
2023,186283004,5
2023,186283005,5
2023,186282604,5
2023,186283049,4
2023,186282669,4
2023,186282710,4
2023,186282795,4
2023,186282798,5
2023,186283091,4
2023,186283000,3
2023,186283117,5
2023,186283118,5
2023,186283165,5
2023,186283166,5
2023,186283361,5
2023,189417464,2
2023,188502334,4
2023,188502374,5
2023,191829262,5
2023,191829263,5
2023,188502502,5
2023,188503571,5
2023,188503646,5
2023,188503649,5
2023,188503689,5
2023,188503860,1
2023,188503860,6
2023,188503861,5
2023,188502497,4
2023,188502647,6
2023,188502648,5
2023,188502649,5
2023,188502650,5
2023,188502698,4
2023,188502526,5
2023,197616842,5
2023,197616843,5
2023,188502889,5
2023,188502891,5
2023,188502553,4
2023,188502555,4
2023,188502645,4
2023,188502758,4
2023,188502939,4
2023,188502710,5
2023,188502972,4
2023,188502795,4
2023,188502849,3
2023,188502866,4
2023,189417560,5
2023,188502786,5
2023,188502788,5
2023,188502789,5
2023,188502870,5
2023,188503009,4
2023,188503099,5
2023,189417841,4
2023,189417842,5
2023,189417843,5
2023,188503122,5
2023,189417804,5
2023,189417818,4
2023,189417819,4
2023,189417593,4
2023,189417614,5
2023,189417739,4
2023,189417740,5
2023,189417758,4
2023,189417765,4
2023,189417793,4
2023,189417826,4
2023,189417855,4
2023,189417956,5
2023,189418020,5
2023,189418031,5
2023,189418052,4
2023,189418118,4
2023,189418119,4
2023,189418157,4
2023,191829249,5
2023,189418209,5
2023,189418063,5
2023,189418087,5
2023,189418113,4
2023,189418008,4
2023,189418009,4
2023,189418041,4
2023,189418142,5
2023,191829143,5
2023,191828931,4
2023,189418219,4
2023,189418235,5
2023,189418312,5
2023,191829191,5
2023,191829192,5
2023,191829235,4
2023,191829239,4
2023,191829345,4
2023,191829346,5
2023,191829398,5
2023,191829597,5
2023,191829361,4
2023,191829391,6
2023,191829645,5
2023,191829647,5
2023,191829688,5
2023,191829553,5
2023,191829712,5
2023,191829715,5
2023,191829893,5
2023,191829896,5
2023,191829738,4
2023,191829770,4
2023,191830000,4
2023,197616903,5
2023,191830154,5
2023,195227731,4
2023,191829857,5
2023,191829858,5
2023,191829888,4
2023,191829979,4
2023,191830252,5
2023,193717276,4
2023,193717278,5
2023,193717596,4
2023,193717598,4
2023,193717599,4
2023,193716988,4
2023,193717076,5
2023,193717190,4
2023,193717263,5
2023,203257219,5
2023,193717437,4
2023,193717245,4
2023,193717246,4
2023,193717333,4
2023,193717334,5
2023,193717460,5
2023,193717275,5
2023,193717451,5
2023,193717538,4
2023,193717475,5
2023,193717506,4
2023,193717554,4
2023,193717729,4
2023,193717420,4
2023,193717465,4
2023,199712291,4
2023,199712508,5
2023,199712509,5
2023,193717804,4
2023,195228190,4
2023,193717564,5
2023,193717601,5
2023,193717642,4
2023,193717739,5
2023,193717741,5
2023,193717782,5
2023,193718192,5
2023,193718193,5
2023,193718194,5
2023,193717830,4
2023,193718054,5
2023,193718112,4
2023,193718034,4
2023,193718107,4
2023,195228479,4
2023,195228483,4
2023,195228484,5
2023,193718143,4
2023,195227844,4
2023,195227845,5
2023,195227846,5
2023,195227773,4
2023,195227774,4
2023,195227833,5
2023,195227948,5
2023,195227949,5
2023,195228003,4
2023,195228043,4
2023,195228020,5
2023,193718177,4
2023,193718178,5
2023,195228140,5
2023,203257268,4
2023,195227863,5
2023,195227864,5
2023,195227995,5
2023,195228035,5
2023,195227954,4
2023,195227955,4
2023,195227956,5
2023,195227957,5
2023,195227958,5
2023,195228001,4
2023,195228062,5
2023,195228164,5
2023,195228253,4
2023,195228341,5
2023,195228342,5
2023,195228136,6
2023,195228252,5
2023,195228343,5
2023,195228247,6
2023,195228413,4
2023,199712099,1
2023,199712099,2
2023,195228388,4
2023,195228434,4
2023,195228515,5
2023,205308634,4
2023,197617129,4
2023,197617228,4
2023,197617053,4
2023,197617242,4
2023,203257030,5
2023,197617189,5
2023,197617237,5
2023,197617238,5
2023,197617135,5
2023,199712169,1
2023,199712169,6
2023,199712264,5
2023,199712265,5
2023,197617204,4
2023,197617232,4
2023,197617257,4
2023,197617266,5
2023,197617267,5
2023,197617268,5
2023,197617482,5
2023,197617547,4
2023,197617600,5
2023,197617601,5
2023,197617428,5
2023,197617452,4
2023,197617485,4
2023,197617486,5
2023,197617555,4
2023,197617575,4
2023,197617638,4
2023,197617711,4
2023,197617656,4
2023,197617657,4
2023,199712062,4
2023,197617465,5
2023,199712550,4
2023,199712092,5
2023,199712188,4
2023,199712189,4
2023,199712557,4
2023,199712558,4
2023,199712559,5
2023,199712560,5
2023,199712310,5
2023,199712351,4
2023,199712548,4
2023,199712549,4
2023,199712840,6
2023,199712841,6
2023,199712574,5
2023,199712614,4
2023,199712615,4
2023,199712838,4
2023,199712849,4
2023,199712850,4
2023,199712624,5
2023,199712681,4
2023,199712753,4
2023,199713000,2
2023,199713000,6
2023,199712874,4
2023,199712998,4
2023,203257356,4
2023,199712688,5
2023,203257159,5
2023,199712894,5
2023,199712895,5
2023,203257627,4
2023,199712906,5
2023,199712927,5
2023,199713247,1
2023,199712948,5
2023,199712949,5
2023,199712950,5
2023,199713138,4
2023,199713187,5
2023,203257381,4
2023,203257717,5
2023,203257307,5
2023,203257344,4
2023,203257485,4
2023,203257573,4
2023,203257623,4
2023,203257672,4
2023,203257813,3
2023,203257881,3
2023,203257921,5
2023,203257975,4
2023,203257617,5
2023,203257713,5
2023,203258116,5
2023,203258304,4
2023,203258305,5
2023,203257854,5
2023,203257994,5
2023,203258102,5
2023,203258103,5
2023,203257983,5
