data_year,victim_id,circumstances_id,justifiable_force_id
2023,205333322,21,2
2023,188485827,20,3
2023,188502169,20,3
2023,189433765,20,3
2023,189443428,20,3
2023,195214886,20,3
2023,195214887,20,3
2023,195251179,20,3
2023,203281899,21,3
2023,199717463,20,3
2023,193707290,20,5
2023,186286673,20,5
2023,188518836,21,1
2023,206507739,20,3
2023,206507006,20,3
2023,206507007,20,3
2023,206507202,20,3
2023,206507172,20,3
2023,206503545,20,3
2023,206507384,20,3
2023,206508158,20,3
2023,206525012,20,3
2023,206525013,20,3
2023,206531705,20,3
2023,206531441,20,3
2023,206531470,20,3
2023,206492884,20,5
2023,206506753,20,5
2023,206507132,20,5
2023,206530810,20,5
2023,205297968,20,5
2023,189431841,20,5
2023,203285038,20,5
