data_year,groupb_arrestee_id,weapon_code,weapon_id
2023,48212360,01,51
2023,48212364,01,51
2023,48212305,01,51
2023,48212311,01,51
2023,48212327,01,51
2023,48212340,01,51
2023,48212362,01,51
2023,48212368,01,51
2023,48212382,01,51
2023,48212329,01,51
2023,48212317,01,51
2023,48212322,01,51
2023,48212335,01,51
2023,48212344,01,51
2023,48917727,01,51
2023,48917724,01,51
2023,48917725,01,51
2023,48917726,01,51
2023,48917728,01,51
2023,48917729,01,51
2023,48917730,16,52
2023,48917731,01,51
2023,48917732,01,51
2023,48917733,01,51
2023,48917734,01,51
2023,48917735,01,51
2023,48922546,01,51
2023,48922547,01,51
2023,48922550,01,51
2023,48922552,01,51
2023,48922548,01,51
2023,48922549,01,51
2023,48922551,01,51
2023,48922553,01,51
2023,48922554,01,51
2023,48922555,01,51
2023,48922556,01,51
2023,49521344,01,51
2023,49521350,01,51
2023,49521346,01,51
2023,49521348,01,51
2023,49521354,01,51
2023,49521357,01,51
2023,49521330,01,51
2023,49521332,01,51
2023,49521331,01,51
2023,49856653,01,51
2023,49856694,01,51
2023,49856646,01,51
2023,49856678,01,51
2023,49856684,01,51
2023,49856702,01,51
2023,49856709,16,52
2023,49856718,01,51
2023,49856730,01,51
2023,49856741,01,51
2023,49856664,01,51
2023,49856769,01,51
2023,49856673,01,51
2023,49856692,01,51
2023,49856710,01,51
2023,49856666,01,51
2023,49856701,01,51
2023,49856716,01,51
2023,49856734,01,51
2023,49856725,01,51
2023,50555178,01,51
2023,50555181,01,51
2023,50555180,01,51
2023,50555182,01,51
2023,50555190,01,51
2023,50555186,01,51
2023,50555191,01,51
2023,50555185,01,51
2023,50555188,01,51
2023,50555183,01,51
2023,50555187,01,51
2023,50555184,01,51
2023,50555179,01,51
2023,50555189,01,51
2023,50555193,01,51
2023,50555192,01,51
2023,50902105,01,51
2023,50902106,01,51
2023,50902108,01,51
2023,50902104,01,51
2023,50902107,01,51
2023,50902111,01,51
2023,50902112,01,51
2023,50902113,01,51
2023,51486514,01,51
2023,51486517,01,51
2023,51486513,01,51
2023,51486515,01,51
2023,51486520,01,51
2023,51486521,01,51
2023,51829024,16,52
2023,51829027,01,51
2023,51829025,01,51
2023,51829026,01,51
2023,49520551,01,51
2023,49520504,01,51
2023,49520529,01,51
2023,49520505,01,51
2023,49520506,01,51
2023,49520511,01,51
2023,49520507,01,51
2023,49520510,01,51
2023,49520512,01,51
2023,49520513,01,51
2023,49520514,01,51
2023,49520516,01,51
2023,49520521,01,51
2023,49520519,01,51
2023,49520518,01,51
2023,49520520,01,51
2023,49520523,01,51
2023,49520509,01,51
2023,49520543,01,51
2023,49520545,01,51
2023,49520548,01,51
2023,49520526,01,51
2023,49520528,01,51
2023,49520531,01,51
2023,49520534,01,51
2023,49520541,01,51
2023,50124387,01,51
2023,50124391,01,51
2023,50124392,01,51
2023,50124393,01,51
2023,50124394,01,51
2023,50124397,01,51
2023,50124399,01,51
2023,50124388,01,51
2023,50124389,01,51
2023,50124390,01,51
2023,50124395,01,51
2023,50124396,01,51
2023,50124398,01,51
2023,50124400,01,51
2023,50124407,01,51
2023,50901690,01,51
2023,50901691,01,51
2023,50901692,01,51
2023,50901688,01,51
2023,50901689,01,51
2023,50901693,01,51
2023,51485497,01,51
2023,51485526,01,51
2023,51485498,01,51
2023,51485499,01,51
2023,51485500,01,51
2023,51485501,01,51
2023,51485502,01,51
2023,51485503,01,51
2023,51828363,01,51
2023,51828365,01,51
2023,51828364,01,51
2023,51828366,01,51
2023,51828367,01,51
2023,51828368,01,51
2023,51828369,01,51
2023,51828370,01,51
2023,51828371,01,51
2023,51828380,01,51
2023,51828381,01,51
2023,47936656,01,51
2023,48216667,01,51
2023,48216673,01,51
