"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
39882018,3988,2018,"GA1100000","GA1100000","","N","N",,"I","PAULDING","PAULDING CO SO DALLAS","Paulding","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",143879,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",177,4,181,50,33,83,0,0,01-JAN-18,01-JAN-18,01-JAN-18,01-JUL-19,01-JUL-19,01-JUL-19,"N","PAULDING","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
39922018,3992,2018,"GA1110000","GA1110000","","N","N",,"I","PEACH","PEACH CO SO FORT VALLEY","Peach","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",12574,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",28,14,42,5,16,21,0,0,01-JAN-18,01-JUN-18,01-JUN-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","PEACH","Warner Robins, GA","Y","Y","Y"
40002018,4000,2018,"GA1130000","GA1130000","","N","N",,"I","PIERCE","PIERCE CO SO BLACKSHEAR","Pierce","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",15057,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",21,13,34,1,15,16,0,0,01-JAN-18,01-JUN-18,01-JUN-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","PIERCE","Non-MSA","Y","Y","Y"
40072018,4007,2018,"GA1150000","GA1150000","","N","N",,"I","POLK","SO CEDARTOWN","Polk","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",35,20,55,2,19,21,0,0,01-JAN-18,01-DEC-18,01-DEC-18,,,,"N","POLK","Non-MSA","Y","Y","Y"
40362018,4036,2018,"GA1210800","GA1210800","","N","N",,"I","BLYTHE","CITY OF BLYTHE POLICE DEPARTMENT BLYTHE","Blythe","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",704,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-OCT-19,01-AUG-19,01-OCT-19,"N","BURKE; RICHMOND","Augusta-Richmond County, GA-SC","Y","Y","Y"
40622018,4062,2018,"GA1290400","GA1290400","","N","N",,"I","GA SOUTHWESTERN STATE UN","GA SOUTHWESTERN STATE UNIV SECURITY PD","Georgia Southwestern State University","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","University or College",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",10,0,10,2,0,2,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","SUMTER","Non-MSA","Y","Y","Y"
40622018,4062,2018,"GA1290400","GA1290400","","N","N",,"I","GA SOUTHWESTERN STATE UN","GA SOUTHWESTERN STATE UNIV SECURITY PD","Georgia Southwestern State University","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","University or College",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",10,0,10,2,0,2,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","SUMTER","Non-MSA","Y","N","Y"
40942018,4094,2018,"GA1370000","GA1370000","","N","N",,"I","TIFT","TIFT CO SO TIFTON","Tift","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",22584,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",64,3,67,18,14,32,0,0,01-JAN-18,01-AUG-18,01-AUG-18,01-OCT-19,01-OCT-19,01-OCT-19,"N","TIFT","Non-MSA","Y","Y","Y"
41602018,4160,2018,"GA1540000","GA1540000","","N","N",,"I","WHITE","WHITE CO SO CLEVELAND","White","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",25229,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",42,20,62,4,9,13,0,0,01-JAN-18,01-JAN-18,01-JAN-18,01-AUG-19,01-AUG-19,01-AUG-19,"N","WHITE","Non-MSA","Y","Y","Y"
41712018,4171,2018,"GA1560100","GA1560100","","N","N",,"I","ABBEVILLE","ABBEVILLE PD","Abbeville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",2772,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",5,0,5,0,0,0,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","WILCOX","Non-MSA","Y","Y","Y"
