"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
35702018,3570,2018,"GA0250800","GA0250800","","N","N",,"I","PORTS AUTHORITY: SAVANNAH","GEORGIA PORTS AUTHORITY SAVANNAH","Ports Authority","Savannah","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","Other State Agency",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",75,13,88,18,20,38,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","CHATHAM","Savannah, GA","Y","N","Y"
35702018,3570,2018,"GA0250800","GA0250800","","N","N",,"I","PORTS AUTHORITY: SAVANNAH","GEORGIA PORTS AUTHORITY SAVANNAH","Ports Authority","Savannah","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","Other State Agency",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",75,13,88,18,20,38,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","CHATHAM","Savannah, GA","Y","Y","Y"
36092018,3609,2018,"GA0310600","GA0310600","","N","N",,"I","LAKE CITY","LAKE CITY PD LAKE CITY","Lake City","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",2838,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,0,16,1,1,2,0,0,01-JAN-18,01-SEP-18,01-SEP-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","CLAYTON","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
36152018,3615,2018,"GA0320100","GA0320100","","N","N",,"I","HOMERVILLE","HOMERVILLE PD","Homerville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",2394,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",8,0,8,0,1,1,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,,"N","CLINCH","Non-MSA","Y","Y","Y"
36152018,3615,2018,"GA0320100","GA0320100","","N","N",,"I","HOMERVILLE","HOMERVILLE PD","Homerville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",2394,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",8,0,8,0,1,1,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,,"N","CLINCH","Non-MSA","Y","N","Y"
36472018,3647,2018,"GA0380000","GA0380000","","N","N",,"I","COWETA","COWETA CO SO NEWNAN","Coweta","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",97406,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",153,41,194,19,42,61,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","COWETA","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
36472018,3647,2018,"GA0380000","GA0380000","","N","N",,"I","COWETA","COWETA CO SO NEWNAN","Coweta","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",97406,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",153,41,194,19,42,61,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","COWETA","Atlanta-Sandy Springs-Alpharetta, GA","Y","N","Y"
36812018,3681,2018,"GA0447100","GA0447100","","N","N",,"I","DUNWOODY","DUNWOODY POLICE DEPARTMENT","Dunwoody ","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",50095,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",55,1,56,5,12,17,0,0,01-JAN-18,01-JAN-18,01-JAN-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","DEKALB","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
37052018,3705,2018,"GA0500000","GA0500000","","N","N",,"I","ECHOLS","ECHOLS CO SO STATENVILLE","Echols","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",3916,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",8,0,8,0,1,1,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","ECHOLS","Valdosta, GA","Y","N","Y"
37052018,3705,2018,"GA0500000","GA0500000","","N","N",,"I","ECHOLS","ECHOLS CO SO STATENVILLE","Echols","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",3916,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",8,0,8,0,1,1,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","ECHOLS","Valdosta, GA","Y","Y","Y"
37112018,3711,2018,"GA0520100","GA0520100","","N","N",,"I","ELBERTON","ELBERTON PD","Elberton","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",4300,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,0,16,6,2,8,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","ELBERT","Non-MSA","Y","Y","Y"
37112018,3711,2018,"GA0520100","GA0520100","","N","N",,"I","ELBERTON","ELBERTON PD","Elberton","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",4300,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,0,16,6,2,8,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","ELBERT","Non-MSA","Y","N","Y"
37192018,3719,2018,"GA0540100","GA0540100","","N","N",,"I","CLAXTON","CLAXTON PD","Claxton","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",2240,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",10,0,10,1,3,4,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","EVANS","Non-MSA","Y","Y","Y"
37452018,3745,2018,"GA0590500","GA0590500","","N","N",,"I","FRANKLIN SPRINGS","FRANKLIN SPRINGS PD FRANKLIN SPRINGS","Franklin Springs","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",1161,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUN-19,01-JUN-19,,"N","FRANKLIN","Non-MSA","Y","Y","Y"
37452018,3745,2018,"GA0590500","GA0590500","","N","N",,"I","FRANKLIN SPRINGS","FRANKLIN SPRINGS PD FRANKLIN SPRINGS","Franklin Springs","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",1161,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUN-19,01-JUN-19,,"N","FRANKLIN","Non-MSA","Y","N","Y"
37972018,3797,2018,"GA0640000","GA0640000","","N","N",,"I","GORDON","GORDON CO SO CALHOUN","Gordon","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",39998,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",76,21,97,3,17,20,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-OCT-19,01-OCT-19,01-OCT-19,"N","GORDON","Non-MSA","Y","Y","Y"
38182018,3818,2018,"GA0670600","GA0670600","","N","N",,"I","LILBURN","LILBURN PD","Lilburn","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",12847,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",28,1,29,4,4,8,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","GWINNETT","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
38192018,3819,2018,"GA0670700","GA0670700","","N","N",,"I","NORCROSS","NORCROSS PD","Norcross","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",17089,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",38,4,42,4,11,15,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","GWINNETT","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
38192018,3819,2018,"GA0670700","GA0670700","","N","N",,"I","NORCROSS","NORCROSS PD","Norcross","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",17089,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",38,4,42,4,11,15,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","GWINNETT","Atlanta-Sandy Springs-Alpharetta, GA","Y","N","Y"
38212018,3821,2018,"GA0670900","GA0670900","","N","N",,"I","SUWANEE","SUWANEE PD","Suwanee","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",20227,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",33,2,35,4,8,12,0,0,01-JAN-18,01-AUG-18,01-AUG-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","GWINNETT","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
38222018,3822,2018,"GA0671000","GA0671000","","N","N",,"I","GWINNETT CO PUB SCHOOLS","GWINNETT CO PUBLIC SCHOOL POLICE LAWRENCEVILLE","Gwinnett County Public Schools","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","Other",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",71,2,73,18,9,27,0,0,01-JAN-18,01-JAN-18,01-JAN-18,01-JUN-19,01-JUN-19,,"N","GWINNETT","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
38342018,3834,2018,"GA0690000","GA0690000","","N","N",,"I","HALL","HALL CO SO GAINESVILLE","Hall","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",145970,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",235,84,319,36,78,114,0,0,01-JAN-18,01-JAN-18,01-JAN-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","HALL","Gainesville, GA","Y","Y","Y"
38402018,3840,2018,"GA0690600","GA0690600","","N","N",,"I","HALL COUNTY MARSHAL","HALL CO MARSHALLS OFFICE GAINESVILLE","Hall County Marshal","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","Other",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",13,1,14,0,0,0,0,0,01-JAN-18,01-DEC-18,01-DEC-18,,,,"N","HALL","Gainesville, GA","Y","N","Y"
38402018,3840,2018,"GA0690600","GA0690600","","N","N",,"I","HALL COUNTY MARSHAL","HALL CO MARSHALLS OFFICE GAINESVILLE","Hall County Marshal","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","Other",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",13,1,14,0,0,0,0,0,01-JAN-18,01-DEC-18,01-DEC-18,,,,"N","HALL","Gainesville, GA","Y","Y","Y"
38572018,3857,2018,"GA0740000","GA0740000","","N","N",,"I","HEARD","HEARD CO SO FRANKLIN","Heard","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",10740,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",13,12,25,6,5,11,0,0,01-JAN-18,01-NOV-18,01-NOV-18,,,,"N","HEARD","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
38782018,3878,2018,"GA0780600","GA0780600","","N","N",,"I","BRASELTON","BRASELTON PD","Braselton","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",11537,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",19,0,19,0,1,1,0,0,01-JAN-18,01-SEP-18,01-SEP-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BARROW; HALL; JACKSON; GWINNETT","Atlanta-Sandy Springs-Alpharetta, GA; Gainesville, GA","Y","N","Y"
38782018,3878,2018,"GA0780600","GA0780600","","N","N",,"I","BRASELTON","BRASELTON PD","Braselton","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",11537,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",19,0,19,0,1,1,0,0,01-JAN-18,01-SEP-18,01-SEP-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BARROW; HALL; JACKSON; GWINNETT","Atlanta-Sandy Springs-Alpharetta, GA; Gainesville, GA","Y","Y","Y"
39452018,3945,2018,"GA0990100","GA0990100","","N","N",,"I","MANCHESTER","MANCHESTER PD","Manchester","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",3966,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,0,12,0,5,5,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","TALBOT; MERIWETHER","Atlanta-Sandy Springs-Alpharetta, GA; Columbus, GA-AL","Y","Y","Y"
39792018,3979,2018,"GA1070000","GA1070000","","N","N",,"I","NEWTON","NEWTON CO SO COVINGTON","Newton","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",91132,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",104,49,153,35,60,95,0,0,01-JAN-18,01-OCT-18,01-OCT-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","NEWTON","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
