"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2018,9140577,3988,1,2018,"I",29-JUL-19,"Y","F","C","2018_01_GA1100000_NIBRS",56466737,0
2018,9140578,3988,7,2018,"I",29-JUL-19,"Y","F","C","2018_07_GA1100000_NIBRS",49807602,0
2018,10138064,3988,8,2018,"I",23-SEP-19,"Y","F","C","2018_08_GA1100000_NIBRS",56458175,0
2018,9140575,3988,10,2018,"I",29-JUL-19,"Y","F","C","2018_10_GA1100000_NIBRS",49797565,0
2018,8895221,3745,12,2018,"Z",01-APR-19,"Y","F","C","2018_12_GA0590500_NIBRS",42552264,0
2018,9095571,4036,12,2018,"Z",24-JUN-19,"Y","F","C","2018_12_GA1210800_NIBRS",48739267,0
2018,9095577,3499,12,2018,"Z",24-JUN-19,"Y","F","C","2018_12_GA0100200_NIBRS",48739271,0
2018,9093560,3822,6,2018,"I",21-JUN-19,"Y","F","C","2018_06_GA0671000_NIBRS",48721075,0
2018,9093564,3822,11,2018,"I",21-JUN-19,"Y","F","C","2018_11_GA0671000_NIBRS",48721099,0
2018,9093562,3822,12,2018,"I",21-JUN-19,"Y","F","C","2018_12_GA0671000_NIBRS",48721088,0
2018,8892947,3570,12,2018,"I",01-APR-19,"Y","F","C","2018_12_GA0250800_NIBRS",42552291,0
2018,9093518,3647,11,2018,"U",21-JUN-19,"Y","F","C","2018_11_GA0380000_NIBRS",48710079,0
2018,8895219,3647,12,2018,"I",01-APR-19,"Y","F","C","2018_12_GA0380000_NIBRS",56457055,0
2018,9094506,3979,10,2018,"I",24-JUN-19,"Y","F","C","2018_10_GA1070000_NIBRS",48743390,0
2018,9094508,3979,12,2018,"I",24-JUN-19,"Y","F","C","2018_12_GA1070000_NIBRS",48720535,0
2018,10502064,3797,12,2018,"I",22-OCT-19,"Y","F","C","2018_12_GA0640000_NIBRS",58706127,0
2018,9093522,3681,1,2018,"I",21-JUN-19,"Y","F","C","2018_01_GA0447100_NIBRS",48710141,0
2018,9085936,3681,8,2018,"I",21-JUN-19,"Y","F","C","2018_08_GA0447100_NIBRS",48710200,0
2018,9093524,3681,9,2018,"I",21-JUN-19,"Y","F","C","2018_09_GA0447100_NIBRS",48700140,0
2018,9093530,3681,10,2018,"I",21-JUN-19,"Y","F","C","2018_10_GA0447100_NIBRS",48710215,0
2018,9085938,3681,11,2018,"I",21-JUN-19,"Y","F","C","2018_11_GA0447100_NIBRS",48700157,0
2018,9085931,3681,12,2018,"I",21-JUN-19,"Y","F","C","2018_12_GA0447100_NIBRS",48710147,0
2018,10502099,4160,4,2018,"I",22-OCT-19,"Y","F","C","2018_04_GA1540000_NIBRS",58709646,0
2018,9226264,4160,5,2018,"I",28-AUG-19,"Y","F","C","2018_05_GA1540000_NIBRS",58709641,0
2018,9215952,4160,6,2018,"I",28-AUG-19,"Y","F","C","2018_06_GA1540000_NIBRS",58709675,0
2018,10502100,4160,9,2018,"I",22-OCT-19,"Y","F","C","2018_09_GA1540000_NIBRS",58709654,0
2018,9226265,4160,10,2018,"I",28-AUG-19,"Y","F","C","2018_10_GA1540000_NIBRS",51129797,0
2018,9226263,4160,12,2018,"I",28-AUG-19,"Y","F","C","2018_12_GA1540000_NIBRS",51129775,0
2018,9085961,3566,6,2018,"I",21-JUN-19,"Y","F","C","2018_06_GA0250400_NIBRS",48723279,0
2018,9085962,3566,7,2018,"I",21-JUN-19,"Y","F","C","2018_07_GA0250400_NIBRS",48723294,0
2018,9093609,3566,8,2018,"I",21-JUN-19,"Y","F","C","2018_08_GA0250400_NIBRS",48726181,0
2018,9085960,3566,9,2018,"I",21-JUN-19,"Y","F","C","2018_09_GA0250400_NIBRS",48723275,0
2018,9085959,3566,10,2018,"I",21-JUN-19,"Y","F","C","2018_10_GA0250400_NIBRS",48723265,0
2018,9093607,3566,12,2018,"I",21-JUN-19,"Y","F","C","2018_12_GA0250400_NIBRS",56466891,0
2018,9226951,3489,3,2018,"U",28-AUG-19,"Y","F","C","2018_03_GA0080100_NIBRS",51127296,0
2018,9140550,3489,12,2018,"I",29-JUL-19,"Y","F","C","2018_12_GA0080100_NIBRS",51107232,0
2018,10422853,4094,8,2018,"I",22-OCT-19,"Y","F","C","2018_08_GA1370000_NIBRS",58697033,0
2018,10422854,4094,12,2018,"I",22-OCT-19,"Y","F","C","2018_12_GA1370000_NIBRS",58709517,0
2018,8892950,3819,12,2018,"I",01-APR-19,"Y","F","C","2018_12_GA0670700_NIBRS",56458105,0
2018,9085964,3821,8,2018,"I",21-JUN-19,"Y","F","C","2018_08_GA0670900_NIBRS",48723349,0
2018,9093611,3821,9,2018,"I",21-JUN-19,"Y","F","C","2018_09_GA0670900_NIBRS",48716251,0
2018,9094479,3821,10,2018,"I",21-JUN-19,"Y","F","C","2018_10_GA0670900_NIBRS",51109406,0
2018,9085965,3821,11,2018,"I",21-JUN-19,"Y","F","C","2018_11_GA0670900_NIBRS",48723378,0
2018,9094478,3821,12,2018,"I",21-JUN-19,"Y","F","C","2018_12_GA0670900_NIBRS",56458536,0
2018,9094494,3818,12,2018,"I",24-JUN-19,"Y","F","C","2018_12_GA0670600_NIBRS",48739354,0
2018,10138061,3818,11,2018,"U",23-SEP-19,"Y","F","C","2018_11_GA0670600_NIBRS",56457654,0
2018,9093608,3566,11,2018,"I",21-JUN-19,"Y","F","C","2018_11_GA0250400_NIBRS",48716245,0
