data_year,weapon_id,offense_id,nibrs_weapon_id
2022,38,179409406,
2022,41,179409472,
2022,32,179409428,
2022,41,179409501,
2022,41,179409548,
2022,42,179409611,
2022,31,181108053,
2022,39,181108087,
2022,39,181108088,
2022,41,181108258,
2022,3,181108013,
2022,41,181108161,
2022,41,181108162,
2022,38,182453049,
2022,7,181108112,
2022,41,181108166,
2022,41,182453201,
2022,39,182453250,
2022,38,185377868,
2022,41,185377662,
2022,3,185377795,
2022,38,185377870,
2022,38,185377954,
2022,7,185378281,
2022,3,185377903,
2022,42,185377946,
2022,41,185378294,
2022,3,185378007,
2022,4,185378008,
2022,3,185378009,
2022,21,185378032,
2022,5,185378055,
2022,41,185378185,
2022,1,185377936,
2022,21,185378172,
2022,21,185378173,
2022,3,185378237,
2022,41,185377962,
2022,38,185377992,
2022,41,181132912,
2022,42,185378208,
2022,1,197106778,
2022,31,187244874,
2022,41,181133133,
2022,41,185378297,
2022,38,185378026,
2022,5,181133125,
2022,41,181133126,
2022,41,181133028,
2022,41,181133070,
2022,41,181133140,
2022,41,181133309,
2022,41,181133052,
2022,38,181133307,
2022,42,185378147,
2022,38,185378201,
2022,21,185378214,
2022,38,185378321,
2022,3,183145672,
2022,42,198879752,
2022,41,187244726,
2022,21,187244772,
2022,38,181133333,
2022,31,187244772,
2022,21,187244773,
2022,31,187244773,
2022,38,187247141,
2022,3,182482854,
2022,41,189012350,
2022,31,187244818,
2022,38,187244847,
2022,42,182482867,
2022,42,182483146,
2022,41,182483057,
2022,3,182483090,
2022,41,187244864,
2022,3,187244939,
2022,1,189012370,
2022,37,182482944,
2022,41,189015294,
2022,38,189012446,
2022,38,182483151,
2022,3,182483269,
2022,41,189012487,
2022,41,189012556,
2022,41,182483157,
2022,38,182483196,
2022,3,182483237,
2022,3,182483272,
2022,38,189012589,
2022,21,190467980,
2022,3,189012573,
2022,37,183145864,
2022,41,183145646,
2022,41,183145640,
2022,38,185416279,
2022,38,183145858,
2022,3,183146130,
2022,3,183146131,
2022,41,198879755,
2022,41,198879757,
2022,42,189012593,
2022,42,189040609,
2022,42,198879863,
2022,42,189012638,
2022,3,183145935,
2022,41,183145967,
2022,42,183146057,
2022,3,183146030,
2022,42,183146108,
2022,41,183145945,
2022,42,190468401,
2022,3,190468158,
2022,38,190468605,
2022,9,190468658,
2022,38,190468440,
2022,41,198879767,
2022,3,190468669,
2022,39,190469094,
2022,39,190469095,
2022,38,190468848,
2022,41,198879900,
2022,38,198879866,
2022,41,183145931,
2022,39,183145956,
2022,42,183145989,
2022,38,198880078,
2022,31,202849389,
2022,41,191940823,
2022,5,183146048,
2022,38,198880065,
2022,38,198880088,
2022,41,185416401,
2022,3,185416524,
2022,31,185416569,
2022,38,185416569,
2022,38,185416515,
2022,41,185416536,
2022,21,185416470,
2022,38,185416526,
2022,38,198880161,
2022,3,190494237,
2022,41,198880273,
2022,41,198880149,
2022,41,198880327,
2022,41,198880151,
2022,3,198880382,
2022,42,198880512,
2022,41,198880437,
2022,41,198880438,
2022,41,198880470,
2022,41,198880667,
2022,41,198880811,
2022,38,198880829,
2022,41,198880720,
2022,32,198880792,
2022,41,198880747,
2022,41,198880748,
2022,41,198880780,
2022,41,198880993,
2022,41,198881184,
2022,41,198881215,
2022,21,198881053,
2022,41,198881216,
2022,37,198881385,
2022,41,198881412,
2022,3,183120710,
2022,38,185416630,
2022,41,185416492,
2022,31,187271747,
2022,41,187271483,
2022,41,187271690,
2022,41,187271567,
2022,41,187271964,
2022,41,189040733,
2022,38,189040702,
2022,41,189040719,
2022,41,189040885,
2022,42,189040922,
2022,38,189040599,
2022,38,189009773,
2022,41,193480436,
2022,7,189009849,
2022,3,189009935,
2022,41,189009936,
2022,38,193480409,
2022,41,193480444,
2022,9,193481131,
2022,38,193481132,
2022,41,193481163,
2022,41,193481256,
2022,3,193480415,
2022,42,189040670,
2022,32,189041012,
2022,41,189041014,
2022,41,189040852,
2022,41,189040951,
2022,41,189040747,
2022,41,193480421,
2022,38,193480441,
2022,38,193480442,
2022,1,195074815,
2022,3,189040810,
2022,41,190494312,
2022,3,189040995,
2022,42,190494342,
2022,42,189041084,
2022,41,193512369,
2022,38,193512166,
2022,41,193512131,
2022,5,189040823,
2022,5,189040824,
2022,42,190494184,
2022,41,189041005,
2022,3,197106831,
2022,41,190494333,
2022,42,190494293,
2022,41,190494300,
2022,41,193512163,
2022,41,190494456,
2022,31,193512292,
2022,41,190494538,
2022,42,190494397,
2022,38,190494468,
2022,38,190494556,
2022,38,190494600,
2022,39,190494745,
2022,21,193515927,
2022,41,193515928,
2022,41,195074794,
2022,21,195074842,
2022,4,191941178,
2022,41,191940874,
2022,41,195074843,
2022,21,195074844,
2022,41,195074831,
2022,41,195074896,
2022,42,195074903,
2022,38,191941017,
2022,21,197103408,
2022,38,191941038,
2022,41,191941131,
2022,41,191940973,
2022,41,191941271,
2022,21,191941150,
2022,31,191941261,
2022,3,193515723,
2022,3,193515724,
2022,3,193515725,
2022,42,197106772,
2022,42,197106773,
2022,41,197103433,
2022,41,197103455,
2022,7,182479767,
2022,41,191941185,
2022,42,197106830,
2022,3,198913256,
2022,41,193515932,
2022,3,193516008,
2022,32,193516032,
2022,42,193516094,
2022,38,193516121,
2022,38,193516225,
2022,41,185412653,
2022,42,185412736,
2022,41,185412658,
2022,42,193516252,
2022,38,193516253,
2022,3,185412779,
2022,31,197106799,
2022,3,198913312,
2022,3,197106908,
2022,1,187268836,
2022,38,182479899,
2022,41,197107038,
2022,3,197107167,
2022,42,182479785,
2022,41,185412596,
2022,41,185412624,
2022,38,195074805,
2022,41,182479869,
2022,37,197107194,
2022,41,198913201,
2022,38,185412646,
2022,3,185412939,
2022,32,198913354,
2022,38,198913472,
2022,32,198913505,
2022,38,198913707,
2022,38,198913278,
2022,5,198913375,
2022,42,182479927,
2022,42,182479630,
2022,3,198913597,
2022,41,182479631,
2022,41,185412963,
2022,41,182479893,
2022,38,182479898,
2022,21,178428064,
2022,41,182479742,
2022,41,182479675,
2022,38,182479675,
2022,38,185412691,
2022,41,185412754,
2022,3,182479794,
2022,1,185412785,
2022,1,185412786,
2022,41,187268826,
2022,38,178414982,
2022,3,198913759,
2022,3,198913387,
2022,41,198913388,
2022,38,198913481,
2022,5,202897204,
2022,41,198913807,
2022,41,198913808,
2022,42,202897376,
2022,42,178414926,
2022,41,178415477,
2022,39,178414888,
2022,41,178414952,
2022,39,181113420,
2022,41,202897408,
2022,1,178414944,
2022,41,178415033,
2022,41,178415019,
2022,39,185389178,
2022,41,182478788,
2022,1,182478823,
2022,1,182478855,
2022,1,182478726,
2022,1,182478798,
2022,1,182478826,
2022,1,182478773,
2022,1,182478875,
2022,41,182478905,
2022,1,181113119,
2022,41,178415371,
2022,41,195052788,
2022,41,178415037,
2022,3,178415231,
2022,41,178415433,
2022,41,178415434,
2022,41,178415476,
2022,41,178415570,
2022,41,178415203,
2022,38,178415024,
2022,38,178415135,
2022,41,185389334,
2022,42,178415222,
2022,41,178415280,
2022,3,185389159,
2022,38,181113208,
2022,41,182478881,
2022,42,177458858,
2022,41,181113271,
2022,38,181113299,
2022,41,181113325,
2022,38,181113355,
2022,21,181113280,
2022,41,181113280,
2022,38,181113377,
2022,41,181113408,
2022,1,181113241,
2022,3,181113320,
2022,3,181113133,
2022,7,181113133,
2022,41,181113248,
2022,41,181113268,
2022,41,181113198,
2022,41,181113224,
2022,38,181113250,
2022,3,187249108,
2022,38,181113263,
