data_year,criminal_act_id,offense_id
2022,6,179409273
2022,6,179409274
2022,6,198879530
2022,6,179409345
2022,6,179409370
2022,6,179409382
2022,6,179409435
2022,6,179409430
2022,6,179409683
2022,6,179409684
2022,6,179409674
2022,6,179409675
2022,6,179409582
2022,6,181108201
2022,6,181108202
2022,6,181107949
2022,6,181108010
2022,6,181108031
2022,1,181108134
2022,6,181108164
2022,6,181108165
2022,6,181108308
2022,6,181108274
2022,6,181108275
2022,6,181108377
2022,6,181108112
2022,12,181108113
2022,6,181108210
2022,6,182453243
2022,6,181132951
2022,6,181132991
2022,6,182453172
2022,6,181133027
2022,6,181133040
2022,6,181133059
2022,6,181133062
2022,6,182453258
2022,8,182453283
2022,8,182453284
2022,6,182453294
2022,6,182453328
2022,6,182453363
2022,6,182453314
2022,3,181133038
2022,6,181133379
2022,6,181133380
2022,6,182453361
2022,6,182453362
2022,6,182453400
2022,1,182453274
2022,6,185377658
2022,6,181133047
2022,6,181133048
2022,6,181133115
2022,6,181133116
2022,6,181133200
2022,6,181133201
2022,6,181133233
2022,6,181133234
2022,6,185377690
2022,6,185377794
2022,6,185377795
2022,6,185377899
2022,6,181133350
2022,6,181133082
2022,6,181133178
2022,6,185377982
2022,6,185377983
2022,6,185378281
2022,6,189040477
2022,8,181133231
2022,8,181133300
2022,6,185377852
2022,2,185377984
2022,6,185377915
2022,6,185377952
2022,6,181133100
2022,6,181133101
2022,6,181133132
2022,6,185377953
2022,6,185377965
2022,6,185377996
2022,6,185377997
2022,6,185378097
2022,6,185378274
2022,6,181133222
2022,6,181133278
2022,6,181133279
2022,6,181133360
2022,6,185378275
2022,6,185378322
2022,6,185378278
2022,6,185378187
2022,6,187244700
2022,6,181133151
2022,6,187244730
2022,6,187244745
2022,6,187244746
2022,6,187244768
2022,3,181133239
2022,6,181133302
2022,3,181133365
2022,6,182482818
2022,6,182482854
2022,9,182482867
2022,6,182482900
2022,6,182482952
2022,6,182483025
2022,6,182483026
2022,6,182483066
2022,6,182483106
2022,6,187244814
2022,6,187244815
2022,6,187244751
2022,8,182482802
2022,6,187244752
2022,6,187244793
2022,1,187244857
2022,6,187244834
2022,6,182482940
2022,6,187247066
2022,6,182483032
2022,6,182483088
2022,6,182483089
2022,6,182483090
2022,6,187247067
2022,6,187244906
2022,6,182483220
2022,6,182482960
2022,6,182482964
2022,6,182483005
2022,6,182483077
2022,6,182483018
2022,6,182483056
2022,6,182483099
2022,6,182483167
2022,6,182483168
2022,6,182483233
2022,1,182483268
2022,2,182483269
2022,6,187244918
2022,6,187244954
2022,6,187244955
2022,6,187244981
2022,6,187244964
2022,6,187245018
2022,1,187244978
2022,6,189012351
2022,6,189012354
2022,6,189015115
2022,1,182483126
2022,6,182483236
2022,6,182483237
2022,6,182483319
2022,6,182483414
2022,6,182483086
2022,6,182483087
2022,2,182483238
2022,6,183145886
2022,6,183145887
2022,8,183145609
2022,6,183145704
2022,6,183145726
2022,6,183145776
2022,6,183145775
2022,6,183145795
2022,6,183145796
2022,6,183145880
2022,6,183145881
2022,6,183145907
2022,6,183145924
2022,6,183145947
2022,6,189015162
2022,6,183145728
2022,6,189012398
2022,6,189012415
2022,6,183146125
2022,6,183146126
2022,6,183146162
2022,6,183146163
2022,6,183145732
2022,6,183145733
2022,6,183145755
2022,1,183145756
2022,2,183145808
2022,6,189012416
2022,6,183145829
2022,6,189012536
2022,6,183145890
2022,6,183145961
2022,6,183146042
2022,8,189012521
2022,6,183146093
2022,6,183146131
2022,6,183146106
2022,6,189012542
2022,6,189012571
2022,6,189012572
2022,6,189012573
2022,6,189012557
2022,1,190468156
2022,1,190468157
2022,6,190468158
2022,1,198879913
2022,2,185416367
2022,6,183145861
2022,8,183145885
2022,8,198879914
2022,8,183145911
2022,6,183145944
2022,6,190468248
2022,6,183145974
2022,6,183145975
2022,6,190468501
2022,6,183146168
2022,6,183146201
2022,6,190468519
2022,6,183145878
2022,6,190468578
2022,2,183145903
2022,2,183145904
2022,6,183145934
2022,6,190468579
2022,6,183145935
2022,6,190468639
2022,8,183145994
2022,8,183146067
2022,8,183146068
2022,6,190468640
2022,6,190468580
2022,8,183146087
2022,6,183146079
2022,6,190468581
2022,2,183145900
2022,6,190468688
2022,6,183145921
2022,6,183146012
2022,6,183146030
2022,3,183145977
2022,1,190468793
2022,6,183146006
2022,6,183146065
2022,6,183146183
2022,6,183146200
2022,6,183145917
2022,6,183145919
2022,9,183145945
2022,6,183146218
2022,6,198880014
2022,6,183146219
2022,6,183146246
2022,6,183146256
2022,6,183145990
2022,6,183145991
2022,6,183146020
2022,6,183146021
2022,1,183146077
2022,6,183146113
2022,2,183145948
2022,6,198879842
2022,6,198879925
2022,6,198880188
2022,6,198880189
2022,6,198879953
2022,6,198879954
2022,1,198880009
2022,1,198880077
2022,6,198880283
2022,6,198880284
2022,6,198880422
2022,6,198880095
2022,6,198880224
2022,6,198880178
2022,6,198880227
2022,6,198880398
2022,6,198880106
2022,6,198880107
2022,6,198880236
2022,6,198880240
2022,1,198880294
2022,3,198880418
2022,1,198880477
2022,6,198880370
2022,10,198880382
2022,2,183145980
2022,3,198880443
2022,6,183146013
2022,6,198880444
2022,2,183146047
2022,3,198880261
2022,6,183146048
2022,6,198880262
2022,6,198880472
2022,6,183146120
2022,6,183146121
2022,3,185416333
2022,6,198880473
2022,6,198880446
2022,6,198880544
2022,6,198880570
2022,6,198880404
2022,6,198880405
2022,6,198880513
2022,6,198880575
2022,6,198880706
2022,6,198880707
2022,6,198880471
2022,6,198880487
2022,6,198880579
2022,6,198880636
2022,6,198880637
2022,6,198880734
2022,6,198880735
2022,1,198880590
2022,6,198880650
2022,6,198880651
2022,6,198880712
2022,6,198880797
2022,6,198880923
2022,6,198880913
2022,6,198880914
2022,6,198880898
2022,6,198880899
2022,6,198880973
2022,6,198880978
2022,6,198880816
2022,6,198881374
2022,6,198881404
2022,6,185416374
2022,6,198881405
2022,6,198881406
2022,6,198880916
2022,6,198881109
2022,6,198881110
2022,6,198881255
2022,6,198881305
2022,6,198881354
2022,6,198881152
2022,6,198881247
2022,8,181105625
2022,6,185416438
2022,6,185416341
2022,6,185416342
2022,6,185416364
2022,6,185416388
2022,6,185416426
2022,6,185416427
2022,6,185416481
2022,6,185416482
2022,8,181105626
2022,6,181105646
2022,6,181105387
2022,6,181105409
2022,6,181105410
2022,6,181105427
2022,6,181105538
2022,6,187271648
2022,6,187271649
2022,8,189009630
2022,6,185416468
2022,6,185416488
2022,6,185416524
2022,8,181105631
2022,6,185416554
2022,6,185416609
2022,6,185416371
2022,6,189040660
2022,6,185416493
2022,2,185416528
2022,6,185416547
2022,6,181105658
2022,6,181105696
2022,6,183120794
2022,6,183120739
2022,6,189009639
2022,6,189009643
2022,6,189009644
2022,6,189009653
2022,6,189009656
2022,6,189009803
2022,6,189009804
2022,6,189009812
2022,6,189009758
2022,6,189009766
2022,6,189009849
2022,8,185416376
2022,8,185416409
2022,6,185416431
2022,6,185416432
2022,6,185416480
2022,6,193480401
2022,6,185416458
2022,8,185416486
2022,6,185416557
2022,6,185416578
2022,6,189009922
2022,12,189009929
2022,6,185416633
2022,6,189009934
2022,6,189009935
2022,6,193480445
2022,4,193481215
2022,6,193481243
2022,6,193480407
2022,6,193480408
2022,6,193480414
2022,6,193480415
2022,3,193480430
2022,6,193480417
2022,6,193480429
2022,8,193480447
2022,8,193480448
2022,6,193480450
2022,6,195074815
2022,6,185416499
2022,3,185416588
2022,8,185416610
2022,6,193512069
2022,6,193512070
2022,1,195074788
2022,1,193512325
2022,1,193512395
2022,12,185416531
2022,6,185416549
2022,6,185416550
2022,6,193512289
2022,9,185416630
2022,6,185416648
2022,8,185416681
2022,6,185416475
2022,3,187271429
2022,8,193512374
2022,6,195074783
2022,6,195074844
2022,6,195074817
2022,6,195074818
2022,8,195074898
2022,9,185416492
2022,6,195074899
2022,6,202894752
2022,6,185416570
2022,6,185416593
2022,6,185416641
2022,6,185416701
2022,8,187271484
2022,6,187271518
2022,6,187271519
2022,6,187271568
2022,6,187271580
2022,6,187271581
2022,6,187271602
2022,2,187271634
2022,6,187271556
2022,6,187271558
2022,6,187271695
2022,6,187271696
2022,6,187271413
2022,6,187271446
2022,8,187271557
2022,6,187271599
2022,8,187271541
2022,6,187271589
2022,6,187271611
2022,6,187271612
2022,6,187271720
2022,3,187271452
2022,6,187271453
2022,6,187271614
2022,6,187271616
2022,3,187271650
2022,6,187271683
2022,6,187271703
2022,6,187271719
2022,6,187271771
2022,6,187271424
2022,2,187271460
2022,6,187271504
2022,8,187271573
2022,3,187271613
2022,3,187271615
2022,3,187271739
2022,6,187271740
2022,8,187271819
2022,8,187271820
2022,6,187271873
2022,8,182479767
2022,6,187271874
2022,8,187271701
2022,6,187271788
2022,6,187271807
2022,1,187271858
2022,9,187271964
2022,6,189040785
2022,8,189040548
2022,8,189040549
2022,6,189040658
2022,9,189040702
2022,8,189040759
2022,8,189040760
2022,6,189040803
2022,6,189040846
2022,6,189040847
2022,6,189040875
2022,6,189040625
2022,6,189040643
2022,6,189040644
2022,6,189040696
2022,1,189040749
2022,6,189040755
2022,6,189040518
2022,6,189040554
2022,6,189040557
2022,6,189040655
2022,6,189040691
2022,6,189040661
2022,6,189040688
2022,6,185412621
2022,1,187268761
2022,6,182479623
2022,6,189040730
2022,6,189040790
2022,6,189040816
2022,1,189040882
2022,6,182479624
2022,6,182479664
2022,6,182479680
2022,6,178427741
2022,6,178427742
2022,6,182479906
2022,8,189040912
2022,8,189040915
2022,8,189040627
2022,8,189040629
2022,6,189041014
2022,6,182479756
2022,6,185412938
2022,6,185412939
2022,6,185412783
2022,6,185412800
2022,6,187268752
2022,6,182479886
2022,2,182479723
2022,6,187268729
2022,6,182479911
2022,2,182479945
2022,6,189040679
2022,6,189040720
2022,6,189040766
2022,8,189040819
2022,8,189040891
2022,6,189041034
2022,6,189041037
2022,6,189041068
2022,3,185412774
2022,6,182479793
2022,6,182479794
2022,6,185412786
2022,6,178415083
2022,6,189041073
2022,6,189040901
2022,8,189040936
2022,3,189041001
2022,3,189041002
2022,6,189040856
2022,6,178415344
2022,3,178414897
2022,14,189040982
2022,1,178415088
2022,6,189041007
2022,3,189041052
2022,8,189041053
2022,4,189041090
2022,8,189040806
2022,8,189040807
2022,6,189040810
2022,6,178415597
2022,3,189040844
2022,6,189040877
2022,6,178415149
2022,3,189040992
2022,3,189040994
2022,6,178415172
2022,6,181113179
2022,6,189040995
2022,6,182460240
2022,6,189041134
2022,6,189040783
2022,8,189040824
2022,2,189040942
2022,8,189040996
2022,8,189040998
2022,6,189041046
2022,6,189041047
2022,6,181113118
2022,6,189041126
2022,6,189040913
2022,6,189040980
2022,6,189041062
2022,6,189041282
2022,6,189041342
2022,6,189041385
2022,9,190494184
2022,9,189041005
2022,4,181113286
2022,8,189041061
2022,8,189041106
2022,6,190494390
2022,6,190494499
2022,6,190494500
2022,6,190494545
2022,10,197106831
2022,6,190494210
2022,6,190494211
2022,6,190494297
2022,9,190494333
2022,6,190494387
2022,6,190494388
2022,9,190494293
2022,6,190494345
2022,9,190494300
2022,6,190494356
2022,6,190494376
2022,8,190494326
2022,6,190494428
2022,6,181113318
2022,8,190494441
2022,8,190494442
2022,6,181113319
2022,6,181113320
2022,6,185389370
2022,6,190494483
2022,6,190494513
2022,8,190494629
2022,8,190494630
2022,9,190494468
2022,8,190494502
2022,9,190494600
2022,6,190494476
2022,9,181113225
2022,12,181113359
2022,6,191940853
2022,1,191941132
2022,9,182460021
2022,6,191941176
2022,6,191941177
2022,6,191941178
2022,6,191941231
2022,3,181113654
2022,6,191940821
2022,6,182460296
2022,6,191940845
2022,6,191940932
2022,6,191941276
2022,6,191941277
2022,14,182460560
2022,6,182460583
2022,12,185389778
2022,6,191940925
2022,6,191940967
2022,4,198913203
2022,6,191941075
2022,8,191941076
2022,6,191941145
2022,3,193515669
2022,3,185389864
2022,6,191941093
2022,6,191941217
2022,6,193515725
2022,6,191941245
2022,8,191941280
2022,6,191941320
2022,6,193515929
2022,6,193515930
2022,6,193515979
2022,1,185389641
2022,3,197106851
2022,9,185389701
2022,4,193516086
2022,9,193515932
2022,6,193516008
2022,9,193516032
2022,6,193516033
2022,6,193516034
2022,6,193516064
2022,6,193515970
2022,1,185389852
2022,9,185389790
2022,1,197090580
2022,6,193516039
2022,6,193516062
2022,6,193516099
2022,6,193516143
2022,8,193516205
2022,6,193516019
2022,6,193516020
2022,6,193516077
2022,8,193516134
2022,8,193516135
2022,8,193516154
2022,6,193516168
2022,6,193516169
2022,6,193516258
2022,6,193516259
2022,1,193516288
2022,6,193516289
2022,6,193516156
2022,6,193516305
2022,6,193516307
2022,6,193516327
2022,6,193516172
2022,6,193516203
2022,6,193516204
2022,6,193516262
2022,6,193516224
2022,1,193516242
2022,8,193516282
2022,8,197107182
2022,6,197107213
2022,8,197107252
2022,9,185389884
2022,14,185389925
2022,6,185390066
2022,3,185390097
2022,6,185390158
2022,3,185390032
2022,9,195052919
2022,8,197106862
2022,6,198913141
2022,6,187249141
2022,1,185390108
2022,6,197106874
2022,6,197106875
2022,3,197106961
2022,6,197106980
2022,6,197106981
2022,6,197107011
2022,8,197107012
2022,6,197107101
2022,6,197107102
2022,6,197107150
2022,6,197107151
2022,6,197107177
2022,6,198913312
2022,6,197106891
2022,6,197106907
2022,6,197106908
2022,3,197106969
2022,6,185390245
2022,6,185390249
2022,8,185390156
2022,6,187249192
2022,6,197107439
2022,2,190471011
2022,8,187249255
2022,4,195052910
2022,6,187249400
2022,6,187249267
2022,6,187249268
2022,1,187249287
2022,6,197107092
2022,6,197107138
2022,6,197107137
2022,6,197107166
2022,6,197107167
2022,6,197107243
2022,6,197107244
2022,6,197107035
2022,6,197107058
2022,8,197107081
2022,8,197107082
2022,6,197107113
2022,8,197107144
2022,6,197107168
2022,6,187249286
2022,9,187249555
2022,9,197107194
2022,6,198913431
2022,9,189019282
2022,3,189019352
2022,6,189020180
2022,6,198913219
2022,6,198913305
2022,6,198913307
2022,6,189020181
2022,9,198913505
2022,6,189019591
2022,2,189019479
2022,9,189019770
2022,9,189020013
2022,9,189019944
2022,6,190471241
2022,9,190471366
2022,9,190471412
2022,4,195052903
2022,6,198913375
2022,3,190471355
2022,6,198913597
2022,6,198913784
2022,12,198913858
2022,9,190471475
2022,9,190472288
2022,9,190472290
2022,9,190471526
2022,6,190471779
2022,6,198913759
2022,6,198913700
2022,6,198913701
2022,6,187271498
2022,9,198913807
2022,9,198913808
2022,6,190471780
2022,6,190471675
2022,6,198913442
2022,6,198913443
2022,6,190471676
2022,12,190471932
2022,6,202897397
2022,6,202897398
2022,6,191903852
2022,6,182479005
2022,8,191903922
2022,6,182478717
2022,6,182478682
2022,6,191904053
2022,6,182478767
2022,6,182478823
2022,6,182478855
2022,6,182478726
2022,8,191904031
2022,6,182478798
2022,6,182478826
2022,6,182478773
2022,6,182478875
2022,6,182478853
2022,6,182478883
2022,12,191904066
2022,6,191904135
2022,6,191904217
2022,6,182478865
2022,6,182478889
2022,6,182478803
2022,6,182478980
2022,1,191907284
2022,1,191907285
2022,8,191907383
2022,6,191904496
2022,6,193493329
2022,6,193493305
2022,6,193493306
2022,6,193493536
2022,9,193493569
2022,6,193493692
2022,9,193493783
2022,9,193493544
2022,9,193493643
2022,6,193493788
2022,6,193493818
2022,9,195053629
2022,1,195053539
2022,1,187258598
2022,2,187258556
2022,2,187258574
2022,2,187258586
2022,2,187258447
2022,6,195053692
2022,12,195053791
2022,6,195053935
2022,9,197090505
2022,6,195053806
2022,6,178422399
2022,6,178422343
2022,6,178422344
2022,3,178422394
2022,6,178422395
2022,6,178422478
2022,6,178422479
2022,6,178422521
2022,6,178422566
2022,6,178422600
2022,6,178422601
2022,6,190482548
2022,6,178422487
2022,6,178422488
2022,6,178422489
2022,6,178422519
2022,6,178422558
2022,6,178422559
2022,6,178422593
2022,6,195053820
2022,6,195053883
2022,6,195053884
2022,6,197090574
2022,6,197090575
2022,9,197090598
2022,3,197090719
2022,1,181122999
2022,6,181122999
2022,7,181122999
2022,9,197090694
2022,6,178422651
2022,14,197090718
2022,6,197099175
2022,6,197090762
2022,4,197090785
2022,6,197090820
2022,3,197090911
2022,6,198899720
2022,6,198899721
