data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,12,148924923,0.009,1,12729844
2022,12,148925042,1.000,1,12729854
2022,5,148925038,1.000,1,12729853
2022,5,148925258,0.001,1,12729884
2022,12,148925254,1.000,1,12729883
2022,2,148925165,1.000,1,12729874
2022,5,150195933,1.000,1,12907041
2022,12,150195933,2.000,1,12907042
2022,8,150195933,1.000,9,12907043
2022,16,150195799,0.009,1,12907033
2022,5,150195904,1.000,1,12907039
2022,5,150196018,1.000,1,12907050
2022,5,150195990,0.001,1,12907046
2022,12,150196074,1.000,1,12907051
2022,5,150195944,3.000,1,12907045
2022,12,151215382,43.000,1,13062173
2022,5,151215339,0.001,1,13062170
2022,5,151215390,0.410,1,13062175
2022,12,151215417,0.009,2,13062180
2022,5,151215427,1.000,9,13062181
2022,5,151215477,5.000,1,13062191
2022,5,151215440,2.000,1,13062186
2022,5,151215470,0.500,9,13062189
2022,5,151215502,4.000,1,13062193
2022,5,151215408,1.000,3,13062177
2022,5,153403554,1.000,1,13402049
2022,5,153403580,1.000,9,13402052
2022,5,153403665,1.900,1,13402064
2022,1,153403665,7.060,1,13402065
2022,1,153403815,1.000,1,13402091
2022,2,153403800,4.000,1,13402085
2022,12,153403800,4.000,1,13402086
2022,5,153403807,7.000,1,13402090
2022,5,153403822,2.950,1,13402093
2022,5,153403894,16.000,1,13402102
2022,12,153404019,1.000,1,13402111
2022,5,153404048,1.500,1,13402118
2022,5,153404020,5.000,1,13402112
2022,12,154819756,1.000,9,13616277
2022,5,154819787,5.000,1,13616278
2022,12,154819787,1.000,1,13616279
2022,12,154819800,0.100,1,13616280
2022,5,154819800,7.000,1,13616281
2022,8,154819800,120.000,9,13616282
2022,5,154819823,3.000,1,13616285
2022,16,154819863,1.500,9,13616292
2022,12,154819805,0.500,1,13616283
2022,12,154819847,1.000,1,13616289
2022,5,154821556,1.000,1,13616462
2022,16,154821556,10.000,5,13616463
2022,12,154819989,1.000,9,13616305
2022,14,154819989,12.000,9,13616306
2022,5,154820010,5.000,1,13616311
2022,16,154819994,0.009,1,13616307
2022,12,154820045,1.000,1,13616312
2022,12,154820008,1.000,1,13616310
2022,5,156138426,0.300,1,13800813
2022,12,156138426,2.900,1,13800814
2022,5,156140370,1.000,1,13801035
2022,12,156140407,1.000,1,13801037
2022,5,156140407,1.000,1,13801038
2022,5,156138464,5.000,9,13800819
2022,1,156138475,2.000,1,13800820
2022,12,150214388,5.000,1,12909869
2022,8,150214419,2.000,1,12909880
2022,12,150214449,5.000,7,12909888
2022,12,150214463,5.000,1,12909890
2022,12,150214476,2.000,1,12909897
2022,5,150214461,2.500,4,12909889
2022,12,150214700,3.000,1,12909973
2022,5,150214466,42.000,1,12909892
2022,12,150214513,1.000,1,12909907
2022,12,150214579,3.000,1,12909931
2022,12,150214605,1.000,1,12909938
2022,5,150214680,1.000,1,12909965
2022,12,150214490,0.005,1,12909899
2022,5,150214562,13.700,1,12909925
2022,8,156138475,1.000,9,13800821
2022,12,156159397,29.000,1,13803133
2022,5,156159397,4.800,3,13803134
2022,5,150214603,3.000,1,12909937
2022,4,150214648,1.300,1,12909951
2022,12,150214648,5.700,1,12909952
2022,5,156138559,1.000,1,13800826
2022,12,150214504,4.000,1,12909904
2022,8,150214504,15.000,9,12909905
2022,12,150214528,1.000,1,12909913
2022,12,156138580,2.000,1,13800829
2022,5,156138571,1.000,1,13800828
2022,12,157243422,1.000,11,13959098
2022,12,150214596,5.800,1,12909936
2022,12,150214635,3.000,1,12909946
2022,5,150214635,1.000,1,12909947
2022,17,163568756,1.000,9,14810103
2022,12,150214685,0.001,1,12909968
2022,5,157243488,1.000,11,13959113
2022,12,150214539,3.000,1,12909918
2022,12,150214609,9.800,1,12909939
2022,1,150214609,1.000,1,12909940
2022,5,157243677,1.000,11,13959134
2022,8,150214688,1.000,11,12909969
2022,5,150214688,3.500,3,12909970
2022,12,151237726,5.000,1,13065826
2022,12,151237760,8.000,1,13065834
2022,12,151237818,0.100,5,13065853
2022,5,151237849,43.000,1,13065861
2022,12,151237883,1.000,1,13065874
2022,5,151237883,3.500,1,13065875
2022,5,151237651,1.000,1,13065817
2022,12,151237756,7.000,1,13065832
2022,12,151237824,2.000,1,13065854
2022,5,151237870,1.000,11,13065865
2022,5,151237972,1.000,1,13065900
2022,12,151237773,0.025,1,13065839
2022,12,151237796,3.000,1,13065846
2022,12,151237861,0.001,1,13065863
2022,5,151237816,0.008,1,13065851
2022,5,151237843,42.000,1,13065857
2022,1,151237875,0.006,1,13065867
2022,5,151237875,21.005,1,13065868
2022,8,151237939,2.000,9,13065882
2022,2,151237939,3.000,9,13065883
2022,5,151237939,1.000,9,13065884
2022,12,151237983,1.000,1,13065903
2022,5,151238013,0.003,3,13065913
2022,5,151237900,2.000,1,13065877
2022,4,151237986,1.000,1,13065905
2022,5,151237986,7.000,1,13065906
2022,5,151238051,9.200,1,13065920
2022,12,151238120,1.000,1,13065931
2022,12,151237862,1.500,1,13065864
2022,5,157243700,1.000,1,13959137
2022,12,157243736,11.900,1,13959142
2022,12,157243774,1.000,1,13959149
2022,5,157243737,1.000,1,13959143
2022,8,157243737,3.000,9,13959144
2022,8,157243807,1.000,9,13959156
2022,5,157243807,1.000,1,13959157
2022,12,163568832,1.000,1,14810115
2022,5,163568832,2.000,1,14810116
2022,12,163568695,1.000,1,14810086
2022,5,163568951,1.000,1,14810132
2022,8,163568781,2.000,9,14810108
2022,12,163569019,1.000,9,14810144
2022,2,163569019,1.000,9,14810145
2022,16,163569124,1.000,9,14810163
2022,12,151727182,3.000,1,13139576
2022,12,163569124,0.001,5,14810164
2022,5,163568890,1.000,9,14810124
2022,12,151726968,0.001,1,13139530
2022,12,163568976,2.000,1,14810136
2022,5,151727033,0.005,1,13139544
2022,8,163568976,47.000,9,14810137
2022,5,163568981,2.000,1,14810138
2022,12,151727049,15.000,1,13139546
2022,5,151727085,14.800,1,13139551
2022,8,151727085,7.500,1,13139558
2022,12,151727087,2.750,3,13139552
2022,5,151727087,1.000,1,13139553
2022,12,151727105,1.000,1,13139559
2022,8,151727105,1.000,11,13139560
2022,5,163569109,0.500,1,14810158
2022,12,151727178,1.030,1,13139570
2022,7,151727178,1.024,1,13139571
2022,12,163568902,1.000,1,14810127
2022,5,151727195,187.000,1,13139582
2022,12,151727195,8.500,1,13139583
2022,5,151727208,15.000,1,13139592
2022,12,163568991,3.000,1,14810139
2022,12,151727230,0.500,1,13139596
2022,5,151727230,29.000,1,13139597
2022,12,151727054,1.000,1,13139547
2022,5,163569122,0.001,1,14810161
2022,5,163569082,27.000,1,14810153
2022,12,163569132,1.000,1,14810165
2022,12,163569004,1.000,1,14810142
2022,5,163569159,1.000,9,14810170
2022,5,163569141,1.000,11,14810166
2022,12,163569141,1.000,11,14810167
2022,12,163569212,0.270,1,14810177
2022,14,163569212,1.000,9,14810178
2022,12,163569233,0.450,1,14810179
2022,12,163569113,0.100,1,14810159
2022,5,163569113,0.100,1,14810160
2022,2,163569191,0.100,1,14810176
2022,5,163569329,1.420,1,14810189
2022,5,163569171,0.001,3,14810171
2022,5,163569280,4.000,1,14810184
2022,5,163569354,0.001,3,14810191
2022,12,163569288,0.001,1,14810186
2022,12,163569334,0.001,3,14810190
2022,17,163569400,0.001,1,14810193
2022,5,163569499,2.000,1,14810203
2022,5,163569491,1.000,1,14810201
2022,8,163569491,1.000,1,14810202
2022,12,163569475,2.000,1,14810199
2022,5,163569549,0.001,3,14810206
2022,16,163569412,8.000,9,14810195
2022,5,163569858,2.120,1,14810225
2022,5,163569878,2.700,1,14810226
2022,5,163569486,3.760,1,14810200
2022,8,163569652,0.001,1,14810209
2022,8,163569764,8.000,9,14810215
2022,12,151727358,1.000,1,13139656
2022,5,151727358,1.000,1,13139657
2022,16,151727358,1.000,11,13139658
2022,12,151727388,4.000,1,13139664
2022,5,163569764,1.000,1,14810216
2022,5,163569802,5.000,1,14810219
2022,5,163569838,5.190,1,14810223
2022,12,163569683,1.000,1,14810210
2022,5,163569754,2.180,1,14810214
2022,12,150194030,0.002,1,12906801
2022,12,151727056,8.000,1,13139548
2022,12,151727078,0.010,1,13139549
2022,1,151727112,37.600,1,13139562
2022,13,151727112,13.000,9,13139563
2022,5,151727130,1.000,11,13139565
2022,11,151727130,1.000,11,13139566
2022,5,150194041,1.000,3,12906805
2022,5,150193887,0.001,1,12906776
2022,5,150193901,0.001,1,12906778
2022,2,150193910,0.001,1,12906781
2022,16,150193977,4.500,9,12906790
2022,5,156136339,1.000,3,13800655
2022,12,151727185,0.001,1,13139578
2022,11,150194033,3.000,1,12906802
2022,5,150194055,0.001,1,12906809
2022,5,150194079,0.450,3,12906816
2022,8,151708659,4.000,9,13137040
2022,1,151708625,0.009,1,13137039
2022,2,156136347,0.001,4,13800656
2022,5,151727240,2.000,1,13139606
2022,11,151727240,2.000,1,13139607
2022,14,151727240,2.000,1,13139608
2022,5,151727297,3.000,1,13139630
2022,5,151727331,20.250,1,13139644
2022,11,151727337,0.150,1,13139645
2022,5,151727337,1.000,1,13139646
2022,5,156136350,0.001,3,13800657
2022,1,156136357,0.002,1,13800658
2022,12,156136360,1.700,1,13800659
2022,8,156136552,0.001,1,13800666
2022,12,156136494,1.000,1,13800664
2022,12,151727160,5.000,1,13139568
2022,5,151727179,1.000,3,13139573
2022,8,151727179,3.500,1,13139574
2022,12,151727198,1.000,11,13139584
2022,12,151727224,2.000,1,13139595
2022,12,151727250,7.500,1,13139609
2022,8,151727250,2.000,9,13139610
2022,16,151727250,1.000,9,13139611
2022,1,156136505,0.001,2,13800665
2022,5,151727393,0.001,1,13139665
2022,12,159509243,0.001,1,14263758
2022,12,151727418,0.500,1,13139669
2022,12,156136677,0.001,1,13800668
2022,5,156136686,1.000,3,13800669
2022,5,159509813,0.084,1,14263846
2022,12,159509245,0.001,1,14263760
2022,5,159509251,0.001,1,14263761
2022,12,151727176,1.000,1,13139569
2022,5,151727192,28.000,1,13139581
2022,5,151727216,2.084,1,13139593
2022,16,151727264,3.000,1,13139619
2022,12,151727303,1.000,11,13139636
2022,16,151727327,0.300,5,13139642
2022,5,151727327,3.000,1,13139643
2022,12,151727321,1.000,1,13139641
2022,5,151727190,257.000,4,13139579
2022,12,151727206,0.001,1,13139587
2022,4,151727206,0.001,1,13139588
2022,12,151727274,3.000,1,13139623
2022,5,151727251,1.000,1,13139612
2022,16,151727268,2.500,9,13139622
2022,5,151727302,20.000,1,13139635
2022,5,151727401,15.000,1,13139666
2022,12,151727417,3.000,1,13139667
2022,17,151727417,0.500,1,13139668
2022,5,151727203,0.001,1,13139585
2022,12,151727429,4.000,1,13139671
2022,5,151727448,0.001,1,13139673
2022,5,151727458,27.000,1,13139674
