data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,5,142854116,1.000,1,11884064
2021,12,142853866,1.000,1,11884034
2021,16,142853893,1.000,11,11884042
2021,12,142854019,1.000,1,11884055
2021,12,142853891,1.000,11,11884039
2021,2,142853891,1.000,11,11884040
2021,5,142853891,1.000,11,11884041
2021,12,142854066,0.500,1,11884060
2021,5,142853977,0.500,3,11884050
2021,16,142854023,16.000,9,11884056
2021,5,142854016,1.000,1,11884054
2021,5,142854111,1.000,1,11884063
2021,11,142854167,1.000,11,11884070
2021,5,142854188,1.000,1,11884073
2021,12,142854188,0.500,1,11884074
2021,8,142854188,5.000,9,11884075
2021,5,142854253,0.500,1,11884083
2021,5,145079451,1.000,1,12202027
2021,12,145079507,38.800,1,12202040
2021,12,147432984,0.250,1,12528927
2021,12,145079303,1.000,1,12201996
2021,16,145079303,1.000,1,12201997
2021,12,145079454,1.000,1,12202029
2021,12,145079309,1.500,1,12201998
2021,12,145079376,1.500,1,12202009
2021,12,145079412,1.000,1,12202018
2021,5,145079412,1.000,1,12202019
2021,12,145079524,1.500,1,12202041
2021,12,145079414,1.000,1,12202020
2021,12,145079429,1.000,1,12202021
2021,1,145079429,1.000,1,12202022
2021,12,145079380,1.000,1,12202011
2021,16,145079465,1.000,1,12202031
2021,5,146093313,0.009,1,12347503
2021,12,146093522,2.000,1,12347519
2021,14,146093426,7.000,9,12347511
2021,12,146093400,1.000,1,12347510
2021,5,146093669,4.800,3,12347528
2021,12,146093669,0.500,1,12347529
2021,5,147433180,7.000,1,12528936
2021,17,147433411,0.001,9,12528954
2021,12,135603773,5.800,1,6833893
2021,12,135603787,0.250,1,7106289
2021,15,138149525,2.596,3,11152182
2021,5,139717626,1.000,1,11410781
2021,12,139717660,0.295,1,11410787
2021,12,139717544,0.001,7,11410764
2021,12,139717628,1.500,3,11410782
2021,16,140854797,0.001,1,11597072
2021,13,140854801,1.000,1,11597075
2021,12,140854801,0.800,1,11597076
2021,16,146091054,3.000,9,12347294
2021,17,140854817,0.001,1,11597079
2021,16,140854800,26.600,1,11597074
2021,12,146091097,0.356,1,12347301
2021,12,146091077,1.000,11,12347297
2021,12,146091181,0.009,7,12347313
2021,12,146091195,2.500,2,12347314
2021,5,146090626,14.000,10,12347196
2021,12,146090573,0.001,1,12347184
2021,8,146090643,5.200,9,12347202
2021,5,146090665,13.000,1,12347209
2021,12,146090665,14.000,1,12347210
2021,12,146090684,1.000,1,12347213
2021,12,146090695,1.000,11,12347218
2021,12,146090705,1.000,11,12347220
2021,12,146091285,1.000,1,12347329
2021,5,146091298,3.600,3,12347331
2021,12,146091298,0.120,1,12347332
2021,5,146091353,1.000,11,12347338
2021,12,146090709,1.500,1,12347222
2021,5,138153293,0.800,1,11152583
2021,5,146090709,6.000,3,12347223
2021,12,146090743,1.000,11,12347234
2021,5,135655921,0.400,1,7048400
2021,12,146090776,0.001,1,12347244
2021,12,146090750,1.000,1,12347236
2021,5,135655908,0.500,1,9888597
2021,5,135660401,6.300,1,6788903
2021,5,135655943,1.500,1,6828372
2021,12,146090770,1.000,1,12347242
2021,4,146090780,0.100,1,12347245
2021,5,135655930,0.700,1,10233240
2021,12,147428139,1.000,1,12528426
2021,13,135655949,2.000,9,7060198
2021,5,135655949,6.200,1,7060199
2021,5,135660379,1.200,1,7038191
2021,5,135660383,8.400,1,7130088
2021,5,135655946,2.600,1,10325456
2021,5,135660390,4.800,1,10249170
2021,5,135655953,2.500,1,6832160
2021,5,138173594,7.000,1,11155860
2021,15,135660388,2.000,9,7013702
2021,5,138173617,3.500,1,11155865
2021,5,138153321,11.300,1,11152588
2021,5,138153393,0.800,1,11152600
2021,5,138173679,7.000,1,11155874
2021,5,138173701,2.000,1,11155878
2021,5,138173724,1.000,1,11155884
2021,4,139747988,1.000,9,11416070
2021,5,138153155,2.000,1,11152561
2021,5,138153203,8.300,1,11152576
2021,5,138153348,2.500,1,11152596
2021,5,138153146,0.700,1,11152558
2021,5,138153201,1.000,1,11152574
2021,5,138153235,0.900,1,11152580
2021,5,138153294,16.900,1,11152584
2021,5,138153311,62.300,1,11152586
