data_year,victim_id,circumstances_id,justifiable_force_id
2021,166804701,21,1
2021,160026214,21,2
2021,164124793,21,2
2021,163150383,21,2
2021,156036732,20,3
2021,166801911,20,3
2021,166801661,20,3
2021,166801558,20,3
2021,166802037,20,3
2021,166802377,20,3
2021,166801862,20,3
2021,166803824,20,3
2021,160032888,20,3
2021,160022777,20,3
2021,158156375,20,3
2021,163184976,20,3
2021,163170691,20,3
2021,163182836,20,3
2021,163163625,20,3
2021,163182766,20,3
2021,161366640,20,3
2021,152931502,20,3
2021,154436738,20,3
2021,157098124,20,5
2021,166802069,20,5
2021,164134283,20,5
2021,163183067,20,5
2021,163207435,20,5
2021,161367584,20,5
2021,161367585,20,5
