data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,45303566,,51
2021,41494600,,51
2021,41491363,,51
2021,41995722,,51
2021,41993306,,51
2021,41993304,,51
2021,41995724,,51
2021,41995730,,51
2021,42337537,,51
2021,41993309,,51
2021,41993310,,51
2021,41995731,,51
2021,41995733,,51
2021,41995729,,51
2021,41995728,,51
2021,41993308,,51
2021,41993311,,51
2021,41995732,,51
2021,42337543,,51
2021,42337550,,51
2021,42337562,,51
2021,42337563,,51
2021,42337556,,51
2021,42337541,,51
2021,42337553,,51
2021,42443550,,51
2021,42443537,,51
2021,42443538,,51
2021,42443539,,51
2021,42443536,,3
2021,42872209,,51
2021,41502217,,51
2021,42443605,,51
2021,41505571,,51
2021,42443542,,51
2021,42443551,,51
2021,42443552,,51
2021,42872232,,51
2021,41502218,,51
2021,41502221,,51
2021,42872258,,51
2021,42337717,,1
2021,42872195,,51
2021,42337673,,51
2021,42872200,,51
2021,42337682,,51
2021,42337683,,51
2021,42872213,,51
2021,42337698,,51
2021,42337709,,51
2021,42337700,,51
2021,42337704,,51
2021,42337712,,51
2021,42337713,,51
2021,42872218,,51
2021,43870888,,3
2021,42337745,,3
2021,42337718,,51
2021,43870935,,51
2021,42337816,,51
2021,43870855,,51
2021,43870862,,51
2021,42872394,,51
2021,43870867,,3
2021,43870881,,51
2021,43870861,,51
2021,43870895,,51
2021,42872392,,51
2021,42872393,,51
2021,43870897,,51
2021,42872404,,51
2021,43870869,,51
2021,43870900,,51
2021,43870901,,51
2021,43870907,,51
2021,43870914,,51
2021,43870876,,51
2021,42872472,,51
2021,43870882,,51
2021,42872484,,51
2021,42872412,,51
2021,43870889,,51
2021,43870899,,3
2021,43870899,,52
2021,43870916,,51
2021,43230881,,51
2021,43870929,,51
2021,43870930,,51
2021,43870931,,51
2021,43870932,,51
2021,43870927,,51
2021,43870933,,51
2021,43870934,,51
2021,43870953,,51
2021,43870959,,3
2021,43870915,,51
2021,43870963,,51
2021,43870973,,51
2021,43230930,,51
2021,43870936,,51
2021,43230936,,51
2021,43230940,,51
2021,43230944,,51
2021,43230949,,51
2021,43870947,,51
2021,43870969,,51
2021,43870945,,51
2021,43870954,,51
2021,44577595,,51
2021,43230976,,51
2021,43871008,,51
2021,43870999,,51
2021,43618115,,51
2021,43618116,,51
2021,43618124,,51
2021,43618125,,51
2021,43618135,,51
2021,44577637,,51
2021,44577618,,51
2021,43618146,,3
2021,43618161,,3
2021,43870955,,51
2021,43870956,,51
2021,43870964,,51
2021,43870971,,51
2021,43870978,,51
2021,44577623,,51
2021,43870983,,51
2021,43870984,,51
2021,43871023,,51
2021,43870981,,3
2021,44577664,,51
2021,44577619,,51
2021,45303874,,51
2021,43870989,,51
2021,44123732,,51
2021,44123773,,51
2021,44577620,,51
2021,44577650,,51
2021,44123756,,51
2021,44123781,,3
2021,44123782,,3
2021,44123783,,51
2021,44577666,,51
2021,44577621,,51
2021,44577622,,51
2021,44577631,,51
2021,44577723,,51
2021,44577640,,51
2021,44577643,,51
2021,44577653,,51
2021,44577668,,51
2021,44577680,,51
2021,44577645,,51
2021,44577662,,51
2021,44577663,,51
2021,44577675,,51
2021,44577654,,51
2021,44577698,,51
2021,44577709,,9
2021,44577710,,9
2021,44577711,,9
2021,44577718,,51
2021,44577655,,51
2021,44577656,,51
2021,44577657,,51
2021,44577659,,51
2021,44577644,,51
2021,44577739,,51
2021,44577670,,51
2021,45303804,,51
2021,45303773,,51
2021,44577638,,51
2021,45303844,,51
2021,44577647,,53
2021,44577652,,51
2021,44578215,,51
2021,45303974,,51
2021,44891166,,51
2021,45303997,,51
2021,45773498,,51
2021,45304068,,51
2021,45304069,,51
2021,45304040,,51
2021,45304044,,51
2021,45304078,,51
2021,44891149,,51
2021,44891157,,51
2021,44891206,,51
2021,45304079,,3
2021,45304087,,51
2021,44891186,,51
2021,45304111,,51
2021,45304112,,51
2021,44891195,,51
2021,44891181,,51
2021,45304113,,51
2021,44891231,,51
2021,45304091,,51
2021,45304098,,51
2021,44891223,,3
2021,44891222,,51
2021,44891227,,51
2021,44891228,,51
2021,45303586,,51
2021,45303587,,51
2021,45303600,,51
2021,45303601,,51
2021,45303640,,51
2021,45303668,,52
2021,45303689,,51
2021,45773533,,51
2021,45773534,,51
2021,41491070,,51
2021,41996314,,51
2021,41993803,,51
2021,46196608,,51
2021,46196609,,51
2021,41993804,,51
2021,41996311,,51
2021,42337524,,51
2021,42337525,,51
2021,42337526,,51
2021,41996317,,9
2021,41996315,,51
2021,41996316,,51
2021,42337546,,3
2021,42337551,,52
2021,42337621,,51
2021,42337622,,51
2021,42872015,,51
2021,42337583,,51
2021,42337639,,51
2021,42337640,,51
2021,41489313,,51
2021,42871985,,3
2021,42871985,,9
2021,41995647,,51
2021,42872011,,51
2021,43870096,,53
2021,42872019,,51
2021,42871954,,51
2021,42871955,,51
2021,42871971,,51
2021,42871972,,51
2021,42871973,,51
2021,42871950,,51
2021,42336842,,3
2021,42872036,,51
2021,42872037,,51
2021,42872038,,51
2021,42872039,,51
2021,42872040,,51
2021,42871975,,51
2021,42871976,,51
2021,43230248,,51
2021,45302644,,51
2021,42872024,,51
2021,42872033,,51
2021,42871987,,51
2021,42871988,,51
2021,42871989,,51
2021,42871990,,51
2021,42871991,,51
2021,42871992,,51
2021,42871993,,51
2021,42871994,,51
2021,42872013,,52
2021,42872023,,51
2021,45302645,,51
2021,42871440,,51
2021,43316675,,51
2021,43316676,,51
2021,42871454,,51
2021,42871474,,51
2021,42871406,,51
2021,42871407,,51
2021,42871408,,51
2021,42871409,,51
2021,42871441,,51
2021,42871442,,51
2021,43230246,,5
2021,43230249,,51
2021,44890435,,51
2021,43870080,,51
2021,43617761,,51
2021,43230252,,51
2021,43230253,,51
2021,43230254,,51
2021,43230242,,51
2021,43230243,,51
2021,43870021,,51
2021,43870019,,51
2021,43870020,,51
2021,43870025,,51
2021,43870190,,51
2021,43870518,,51
2021,43870199,,51
2021,43870200,,51
2021,43870203,,51
2021,43870206,,51
2021,43870070,,51
2021,44890456,,51
2021,44890223,,51
2021,44890225,,51
2021,43870215,,52
2021,43870216,,51
2021,44890449,,51
2021,44890226,,51
2021,44890234,,51
2021,44890483,,51
2021,43870536,,52
2021,43870533,,51
2021,43870816,,51
2021,43870531,,3
2021,43870532,,3
2021,43870543,,51
2021,43870565,,51
2021,43870566,,51
2021,44890221,,51
2021,44890238,,51
2021,44890239,,51
2021,44890258,,51
2021,44890261,,51
2021,44890272,,51
2021,44890277,,51
2021,44890278,,51
2021,44890284,,51
2021,44890287,,51
2021,44890502,,51
2021,44890505,,3
2021,44890522,,51
2021,44890259,,51
2021,44890285,,51
2021,46196637,,51
2021,43870573,,51
2021,43870547,,51
2021,43870582,,51
2021,44890290,,51
2021,44890293,,51
2021,44890307,,51
2021,44890308,,51
2021,45302626,,51
2021,44123073,,51
2021,44890326,,51
2021,44890311,,51
2021,44890328,,51
2021,44890334,,51
2021,44890335,,51
2021,45302627,,51
2021,43870610,,51
