data_year,criminal_act_id,offense_id
2021,6,163703868
2021,6,163703881
2021,6,163703880
2021,6,163707142
2021,6,165477171
2021,6,167151202
2021,6,167151219
2021,12,171330189
2021,8,171330362
2021,6,171329971
2021,6,171330008
2021,1,171330019
2021,6,171330218
2021,6,171330219
2021,1,171330017
2021,3,171330018
2021,6,171330287
2021,6,171330083
2021,6,171330147
2021,1,171330215
2021,6,171330225
2021,6,171330226
2021,6,171330227
2021,8,171330210
2021,6,171330355
2021,6,171330434
2021,6,171330460
2021,6,171330461
2021,6,171330462
2021,6,171330495
2021,1,171330381
2021,1,171330560
2021,6,171330691
2021,6,171330554
2021,6,171330555
2021,6,174300199
2021,3,174300268
2021,6,174300298
2021,6,174300299
2021,1,174300233
2021,6,174300375
2021,1,177432785
2021,6,174300112
2021,6,174300113
2021,6,174300242
2021,6,174300304
2021,6,174300120
2021,6,174300121
2021,6,174300211
2021,6,174300212
2021,6,174300255
2021,6,174300256
2021,6,174300395
2021,6,174300396
2021,6,174300258
2021,6,174300277
2021,6,174300278
2021,6,174300217
2021,6,174300320
2021,6,174300321
2021,8,175640923
2021,8,175640974
2021,6,175641220
2021,6,175641221
2021,6,175641108
2021,6,175641244
2021,6,175641075
2021,6,175641076
2021,6,175641406
2021,6,175641407
2021,8,175641452
2021,5,177432868
2021,12,177432897
2021,6,177432684
2021,6,177433024
2021,6,177433082
2021,6,177433395
2021,1,171330479
2021,6,179409452
2021,6,161710245
2021,9,161710242
2021,6,161712509
2021,6,163703631
2021,6,165058086
2021,9,165058087
2021,9,168664666
2021,6,165058124
2021,6,167147468
2021,6,167147509
2021,6,167147510
2021,14,167147346
2021,6,167147360
2021,6,167147361
2021,3,167147470
2021,6,168664661
2021,6,168664662
2021,6,168664668
2021,6,175637944
2021,12,171326664
2021,3,168664687
2021,8,168664689
2021,6,168664667
2021,6,171326582
2021,8,171327016
2021,6,175638003
2021,6,175638004
2021,6,171327057
2021,6,175637974
2021,9,175638044
2021,6,175638077
2021,6,175638119
2021,1,175638140
2021,1,175637358
2021,2,175637363
2021,6,175637295
2021,6,175637296
2021,6,175637382
2021,6,175637392
2021,3,175637417
2021,8,175637445
2021,6,175637461
2021,3,175637473
2021,3,175637474
2021,8,175638251
2021,3,175638268
2021,6,175638269
2021,6,175638270
2021,6,175638339
2021,6,175638340
2021,6,175637479
2021,6,175637480
2021,6,175637481
2021,6,175637525
2021,6,175637575
2021,6,175637533
2021,6,175637534
2021,6,175637562
2021,6,175637563
2021,8,175637580
2021,2,177426626
2021,6,177426649
2021,6,177426650
2021,6,165090112
2021,6,165090143
2021,8,165090173
2021,8,165090218
2021,8,165090248
2021,8,165090281
2021,3,167188748
2021,8,167188749
2021,9,167188896
2021,6,171353974
2021,9,171353912
2021,6,175664719
2021,6,163706860
2021,6,167188791
2021,6,167188806
2021,6,165090267
2021,6,165090165
2021,6,165090166
2021,3,167188859
2021,6,167188860
2021,6,168694137
2021,6,168694138
2021,6,171353942
2021,6,167188999
2021,6,167189033
2021,6,168694318
2021,8,174326052
2021,9,167188888
2021,1,168694224
2021,3,171353976
2021,6,174326066
2021,6,179420717
2021,6,179420718
2021,6,175664936
2021,6,175664937
2021,6,170297067
2021,6,170297068
2021,6,179420789
2021,6,179420790
2021,6,175664932
2021,6,179420852
2021,6,179420853
2021,3,179420699
2021,3,179420753
2021,6,163703552
2021,6,165090164
2021,8,168694457
2021,6,170297118
2021,6,170296974
2021,6,171354165
2021,6,171354191
2021,6,171354069
2021,8,174326279
2021,9,167188927
2021,6,170297166
2021,6,163703551
2021,8,165090278
2021,6,165090279
2021,1,161713644
2021,6,165062887
2021,6,161713649
2021,6,161716414
2021,6,161716415
2021,6,161716424
2021,6,161713704
2021,8,161713710
2021,12,161716449
2021,1,161713728
2021,6,161716478
2021,6,161781905
2021,6,161781896
2021,6,161781949
2021,6,161777881
2021,6,161781918
2021,8,163704168
2021,6,161781935
2021,6,161777890
2021,6,161777886
2021,6,161781939
2021,6,161781941
2021,6,161777910
2021,6,161781934
2021,6,165062929
2021,6,165063021
2021,6,165062706
2021,6,165062770
2021,6,165062966
2021,6,165062698
2021,6,165062768
2021,6,165062807
2021,6,165062888
2021,6,165062909
2021,6,165062962
2021,6,165062805
2021,6,165063027
2021,6,165063049
2021,6,165063083
2021,6,165063098
2021,6,165062937
2021,6,165062975
2021,6,165063216
2021,6,165063250
2021,6,167152470
2021,6,167152505
2021,6,167152102
2021,6,167152132
2021,6,167152175
2021,6,167152233
2021,6,167152281
2021,6,163707447
2021,6,167152629
2021,6,167152296
2021,6,167152351
2021,6,167152400
2021,6,167152529
2021,6,167152627
2021,6,167152849
2021,6,167152123
2021,6,167152427
2021,6,167152512
2021,6,167152160
2021,6,167152251
2021,6,167152289
2021,6,167152359
2021,6,167152366
2021,6,163707400
2021,3,163707445
2021,6,168668051
2021,3,163704241
2021,1,163704259
2021,6,163707477
2021,9,163704374
2021,6,168668088
2021,6,168667978
2021,6,168668053
2021,6,168668026
2021,6,168668130
2021,6,168668158
2021,6,168668272
2021,6,168668293
2021,6,168668316
2021,6,168668331
2021,6,168668348
2021,6,168668393
2021,6,168668895
2021,6,168668939
2021,6,168668532
2021,6,168668587
2021,6,168668616
2021,2,163704360
2021,6,167158230
2021,2,165067754
2021,6,165068073
2021,9,165068169
2021,6,170277952
2021,6,170277975
2021,6,170277994
2021,6,170278020
2021,9,165068035
2021,6,170278057
2021,6,170278075
2021,6,165067885
2021,6,165067886
2021,4,165068086
2021,3,165068133
2021,6,165068063
2021,6,167158473
2021,6,167158474
2021,3,167158593
2021,6,170277879
2021,6,170278147
2021,6,170278164
2021,6,170278203
2021,6,171330403
2021,6,167158485
2021,6,171330420
2021,6,171330474
2021,6,171330540
2021,6,171330570
2021,6,171330508
2021,6,171330587
2021,6,171330628
2021,6,171330686
2021,6,171330717
2021,6,171330737
2021,6,171330456
2021,6,167158486
2021,1,167158514
2021,3,167158547
2021,6,171330630
2021,9,167158572
2021,6,167158567
2021,6,171330754
2021,6,171330733
2021,6,171330750
2021,6,171330514
2021,6,171330581
2021,6,167158693
2021,6,167158694
2021,6,167158526
2021,6,167158686
2021,2,170282747
2021,12,167158810
2021,6,167158672
2021,6,167158766
2021,6,177434425
2021,6,171330592
2021,6,171330611
2021,6,171330652
2021,2,167158692
2021,6,172424518
2021,6,172424541
2021,6,172424568
2021,6,172424599
2021,6,167158786
2021,6,167159124
2021,6,172424688
2021,6,172424728
2021,6,172424642
2021,6,172424676
2021,6,172424698
2021,6,172424737
2021,6,172424515
2021,6,172424543
2021,6,172424572
2021,6,172424627
2021,6,172424710
2021,6,172424711
2021,6,172424763
2021,6,172424864
2021,6,174300485
2021,6,174300526
2021,6,174300536
2021,6,174300547
2021,6,174300554
2021,6,174300481
2021,6,174300495
2021,6,174300522
2021,6,174300546
2021,6,174300565
2021,3,174300593
2021,6,174300605
2021,6,174300623
2021,6,174300654
2021,6,174300672
2021,6,174300566
2021,6,174300579
2021,6,174300686
2021,6,174300705
2021,6,177434075
2021,6,177434134
2021,6,177433977
2021,6,177434609
2021,6,177434427
2021,6,177434516
2021,6,177434569
